STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202403,11170685,마라385856,1,0,21950,4.4,9
202403,11230740,마라385856,1,0,25580,3.6,9
202403,11650581,마라385856,1,0,22840,8.0,9
202403,11680750,마라385856,1,0,10230,3.2,9
202403,26110510,마라385856,1,0,2860,164.4,9
202403,26110520,마라385856,1,0,1850,4.4,9
202403,26110530,마라385856,1,0,2750,94.6,9
202403,26110545,마라385856,1,0,5290,22.7,9
202403,26110560,마라385856,1,0,2960,56.8,9
202403,26110570,마라385856,1,0,4530,7.5,9
202403,26110580,마라385856,1,0,3040,41.0,9
202403,26110590,마라385856,1,0,1620,15.4,9
202403,26110600,마라385856,1,0,3160,16.2,9
202403,26140510,마라385856,1,0,3060,8.2,9
202403,26140520,마라385856,1,0,1690,4.4,9
202403,26140530,마라385856,1,0,3870,59.3,9
202403,26140540,마라385856,1,0,2310,64.9,9
202403,26140570,마라385856,1,0,2170,36.2,9
202403,26140590,마라385856,1,0,2610,4.5,9
202403,26140615,마라385856,1,0,3560,54.1,9
202403,26140630,마라385856,1,0,3070,24.5,9
202403,26140640,마라385856,1,0,2260,15.4,9
202403,26140660,마라385856,1,0,1510,3.1,9
202403,26140680,마라385856,1,0,4420,81.4,9
202403,26170510,마라385856,1,0,1630,49.9,9
202403,26170520,마라385856,1,0,1610,11.1,9
202403,26170530,마라385856,1,0,3530,76.5,9
202403,26170550,마라385856,1,0,3080,4.4,9
202403,26170560,마라385856,1,0,1270,7.5,9
202403,26170570,마라385856,1,0,1500,98.6,9
202403,26170600,마라385856,1,0,900,7.9,9
202403,26170645,마라385856,1,0,2480,24.3,9
202403,26170650,마라385856,1,0,3120,35.2,9
202403,26170660,마라385856,1,0,1290,112.4,9
202403,26170680,마라385856,1,0,2010,45.9,9
202403,26200530,마라385856,1,0,2320,43.4,9
202403,26200540,마라385856,1,0,3230,8.1,9
202403,26200550,마라385856,1,0,6660,16.2,9
202403,26200585,마라385856,1,0,5320,7.6,9
202403,26200590,마라385856,1,0,1920,15.2,9
202403,26200605,마라385856,1,0,1810,4.4,9
202403,26200630,마라385856,1,0,1910,29.0,9
