STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202404,26110510,마라329771,1,0,6940,6.5,5
202404,26110545,마라329771,1,0,1880,3.2,5
202404,26110560,마라329771,1,0,9830,3.7,5
202404,26110590,마라329771,1,0,1330,3.5,5
202404,26140510,마라329771,1,0,1400,2.5,5
202404,26140540,마라329771,1,0,1320,2.2,5
202404,26140615,마라329771,1,0,4090,3.5,5
202404,26140640,마라329771,1,0,910,28.7,5
202404,26140650,마라329771,1,0,740,4.4,5
202404,26140660,마라329771,1,0,840,2.5,5
202404,26140680,마라329771,1,0,4490,46.6,5
202404,26170530,마라329771,1,0,1560,13.4,5
202404,26170660,마라329771,1,0,1260,4.9,5
202404,26170680,마라329771,1,0,2370,22.6,5
202404,26200530,마라329771,1,0,4530,9.0,5
202404,26200585,마라329771,1,0,840,2.2,5
202404,26200590,마라329771,1,0,5990,2.8,5
202404,26200640,마라329771,1,0,2380,35.8,5
202404,26200650,마라329771,1,0,3080,18.5,5
202404,26200660,마라329771,1,0,1700,1.9,5
202404,26230510,마라329771,1,0,7440,25.0,5
202404,26230520,마라329771,1,0,2300,7.3,5
202404,26230550,마라329771,1,0,3550,2.4,5
202404,26230600,마라329771,1,0,5970,4.9,5
202404,26230640,마라329771,1,0,2560,5.7,5
202404,26230750,마라329771,1,0,2090,4.6,5
202404,26230770,마라329771,1,0,2540,19.3,5
202404,26260545,마라329771,1,0,2460,5.0,5
202404,26260570,마라329771,1,0,7110,7.3,5
202404,26290510,마라329771,1,0,2250,35.5,5
202404,26290530,마라329771,1,0,1760,15.4,5
202404,26290540,마라329771,1,0,2390,10.2,5
202404,26290560,마라329771,1,0,8340,5.9,5
202404,26290610,마라329771,1,0,3790,7.4,5
202404,26290620,마라329771,1,0,1710,25.2,5
202404,26290630,마라329771,1,0,3360,3.4,5
202404,26290645,마라329771,1,0,5430,24.6,5
202404,26290710,마라329771,1,0,4670,13.3,5
202404,26320510,마라329771,1,0,8790,2.8,5
202404,26320550,마라329771,1,0,1500,3.4,5
202404,26320571,마라329771,1,0,1880,16.9,5
202404,26350510,마라329771,1,0,2560,3.7,5
202404,26350520,마라329771,1,0,1760,2.4,5
202404,26350525,마라329771,1,0,5470,2.4,5
202404,26350530,마라329771,1,0,3010,2.2,5
202404,26350560,마라329771,1,0,3020,9.2,5
202404,26350570,마라329771,1,0,1760,2.4,5
202404,26380510,마라329771,1,0,810,9.2,5
202404,26380520,마라329771,1,0,7800,3.7,5
202404,26380530,마라329771,1,0,1310,2.2,5
202404,26380540,마라329771,1,0,680,8.5,5
202404,26380550,마라329771,1,0,1700,34.2,5
202404,26380561,마라329771,1,0,2850,28.0,5
202404,26380562,마라329771,1,0,510,7.6,5
