STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202407,26230640,마라341838,2,0,3010,28.0,17
202407,26530591,마라341838,2,0,1870,22.3,17
202407,26530660,마라341838,2,0,2550,3.5,17
202407,마라337842,마라341838,2,0,140,14.9,17
202407,마라353858,마라341838,2,0,800,3.7,17
202407,마라402865,마라341838,2,0,2300,3.5,17
202407,26230640,마라341838,2,1,5930,3.5,17
202407,26530591,마라341838,2,1,1970,11.2,17
202407,26530670,마라341838,2,1,190,3.7,17
202407,26230640,마라341838,2,9,3280,38.5,17
202407,26530591,마라341838,2,9,2410,7.4,17
202407,마라402865,마라341838,2,9,2510,3.5,17
202407,26140540,마라341838,4,0,1310,3.5,17
202407,26230510,마라341838,4,0,6910,3.5,17
202407,26530650,마라341838,4,0,3560,3.5,17
202407,26530660,마라341838,4,0,990,6.3,17
202407,26530680,마라341838,4,0,250,3.5,17
202407,48250340,마라341838,4,0,2130,7.0,17
202407,마라350852,마라341838,4,0,790,8.6,17
202407,마라351856,마라341838,4,0,370,3.6,17
202407,26230510,마라341838,4,1,3470,7.0,17
202407,마라351856,마라341838,4,1,1060,3.6,17
202407,26530580,마라341838,4,9,3480,3.5,17
202407,마라359849,마라341838,4,9,2130,3.5,17
202407,11110615,마라342836,1,0,14670,3.0,17
202407,11170530,마라342836,1,0,12170,4.1,17
202407,11500620,마라342836,1,0,4550,2.7,17
202407,11650560,마라342836,1,0,16830,2.7,17
202407,26110510,마라342836,1,0,3430,115.3,17
202407,26110520,마라342836,1,0,1630,15.9,17
202407,26110530,마라342836,1,0,2450,47.0,17
202407,26110545,마라342836,1,0,1470,30.5,17
202407,26110560,마라342836,1,0,3420,89.9,17
202407,26110570,마라342836,1,0,2000,39.4,17
202407,26110580,마라342836,1,0,2240,137.5,17
202407,26110590,마라342836,1,0,1310,2.9,17
202407,26110600,마라342836,1,0,1620,10.1,17
202407,26140510,마라342836,1,0,1100,8.8,17
202407,26140520,마라342836,1,0,1030,9.7,17
202407,26140530,마라342836,1,0,1240,109.1,17
202407,26140540,마라342836,1,0,1170,69.5,17
202407,26140560,마라342836,1,0,3200,16.6,17
202407,26140570,마라342836,1,0,1300,82.6,17
202407,26140590,마라342836,1,0,3000,14.0,17
202407,26140615,마라342836,1,0,1780,25.6,17
202407,26140640,마라342836,1,0,2300,5.7,17
202407,26140650,마라342836,1,0,3080,6.3,17
202407,26140660,마라342836,1,0,5810,3.7,17
202407,26140680,마라342836,1,0,2520,118.6,17
202407,26170510,마라342836,1,0,1590,7.1,17
202407,26170520,마라342836,1,0,2260,67.0,17
202407,26170530,마라342836,1,0,2240,56.1,17
202407,26170550,마라342836,1,0,2600,20.6,17
202407,26170560,마라342836,1,0,2260,48.8,17
202407,26170570,마라342836,1,0,2200,7.2,17
202407,26170600,마라342836,1,0,2430,11.4,17
202407,26170645,마라342836,1,0,1850,12.7,17
202407,26170650,마라342836,1,0,3370,60.6,17
202407,26170660,마라342836,1,0,2580,38.8,17
202407,26170680,마라342836,1,0,2040,29.5,17
202407,26200530,마라342836,1,0,2630,102.1,17
202407,26200540,마라342836,1,0,2670,2.8,17
202407,26200585,마라342836,1,0,2880,12.3,17
202407,26200590,마라342836,1,0,3560,35.9,17
202407,26200605,마라342836,1,0,3620,9.2,17
202407,26200630,마라342836,1,0,5200,6.1,17
202407,26200640,마라342836,1,0,3190,22.8,17
202407,26200650,마라342836,1,0,4110,58.6,17
202407,26200660,마라342836,1,0,2770,124.3,17
202407,26200670,마라342836,1,0,3130,18.2,17
202407,26230510,마라342836,1,0,2750,116.4,17
202407,26230520,마라342836,1,0,2670,218.0,17
202407,26230540,마라342836,1,0,3510,4.9,17
202407,26230550,마라342836,1,0,2590,61.5,17
202407,26230560,마라342836,1,0,2300,58.1,17
202407,26230570,마라342836,1,0,2300,21.5,17
202407,26230600,마라342836,1,0,2410,43.1,17
202407,26230610,마라342836,1,0,3110,55.4,17
202407,26230640,마라342836,1,0,1940,56.6,17
202407,26230710,마라342836,1,0,1800,41.6,17
202407,26230720,마라342836,1,0,2220,39.9,17
202407,26230740,마라342836,1,0,1870,123.7,17
202407,26230750,마라342836,1,0,2860,42.5,17
202407,26230770,마라342836,1,0,2970,70.4,17
202407,26230780,마라342836,1,0,3570,9.1,17
202407,26260510,마라342836,1,0,2730,45.1,17
202407,26260520,마라342836,1,0,2320,3.4,17
202407,26260545,마라342836,1,0,3400,43.7,17
202407,26260550,마라342836,1,0,2730,95.1,17
202407,26260560,마라342836,1,0,3090,27.7,17
202407,26260570,마라342836,1,0,6960,21.2,17
202407,26260580,마라342836,1,0,3000,26.4,17
202407,26260590,마라342836,1,0,2700,86.4,17
202407,26260600,마라342836,1,0,5580,13.9,17
202407,26260761,마라342836,1,0,3620,2.6,17
202407,26260762,마라342836,1,0,2380,13.6,17
202407,26290510,마라342836,1,0,3490,16.8,17
202407,26290530,마라342836,1,0,4030,66.0,17
202407,26290540,마라342836,1,0,4550,8.2,17
202407,26290550,마라342836,1,0,3460,21.3,17
202407,26290560,마라342836,1,0,1900,15.3,17
202407,26290570,마라342836,1,0,4260,41.0,17
202407,26290590,마라342836,1,0,3520,5.7,17
202407,26290610,마라342836,1,0,3850,35.2,17
202407,26290620,마라342836,1,0,5960,19.1,17
202407,26290630,마라342836,1,0,9660,3.4,17
202407,26290645,마라342836,1,0,10520,26.3,17
202407,26290680,마라342836,1,0,2800,6.1,17
202407,26290690,마라342836,1,0,2850,15.0,17
202407,26290700,마라342836,1,0,2330,2.9,17
202407,26290710,마라342836,1,0,1780,13.5,17
202407,26320510,마라342836,1,0,1950,37.8,17
202407,26320520,마라342836,1,0,1860,13.0,17
202407,26320530,마라342836,1,0,2780,45.2,17
202407,26320541,마라342836,1,0,6140,38.5,17
202407,26320542,마라342836,1,0,2090,26.8,17
202407,26320543,마라342836,1,0,2170,37.0,17
202407,26320550,마라342836,1,0,3270,13.3,17
202407,26320560,마라342836,1,0,2850,40.8,17
202407,26320571,마라342836,1,0,4100,19.7,17
202407,26320572,마라342836,1,0,2840,19.2,17
202407,26320573,마라342836,1,0,2660,8.9,17
202407,26350510,마라342836,1,0,3960,64.1,17
202407,26350520,마라342836,1,0,3310,144.6,17
202407,26350525,마라342836,1,0,4460,10.0,17
202407,26350530,마라342836,1,0,4890,70.8,17
202407,26350540,마라342836,1,0,5670,9.2,17
202407,26350551,마라342836,1,0,3340,15.3,17
202407,26350552,마라342836,1,0,5410,14.5,17
202407,26350554,마라342836,1,0,4870,46.1,17
202407,26350560,마라342836,1,0,4630,26.8,17
202407,26350570,마라342836,1,0,3340,7.4,17
202407,26350580,마라342836,1,0,2800,2.9,17
202407,26350610,마라342836,1,0,2470,16.1,17
202407,26350620,마라342836,1,0,1840,2.7,17
202407,26350650,마라342836,1,0,3600,15.6,17
202407,26380510,마라342836,1,0,2650,18.5,17
202407,26380520,마라342836,1,0,2430,39.2,17
202407,26380530,마라342836,1,0,2180,36.6,17
202407,26380540,마라342836,1,0,1670,13.0,17
202407,26380550,마라342836,1,0,2060,77.1,17
202407,26380561,마라342836,1,0,820,80.2,17
202407,26380562,마라342836,1,0,910,227.6,17
202407,26380601,마라342836,1,0,2450,187.8,17
202407,26380602,마라342836,1,0,5070,37.8,17
202407,26380610,마라342836,1,0,2840,33.2,17
202407,26380620,마라342836,1,0,1600,19.7,17
202407,26380630,마라342836,1,0,1670,3.7,17
