STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202407,감전동 행정복지센터,0,20666.9,2778.8
202407,감전동 행정복지센터,1,7678.7,1780.1
202407,감전동 행정복지센터,2,3347.9,417.8
202407,감전동 행정복지센터,3,6182.3,5208.9
202407,감전동 행정복지센터,4,83.5,6.8
202407,감전동 행정복지센터,9,3712.8,1218.6
202407,감전시장,0,34404.1,4513.1
202407,감전시장,1,19090.0,4967.7
202407,감전시장,2,12306.2,2168.0
202407,감전시장,3,15682.9,13704.8
202407,감전시장,4,217.9,29.6
202407,감전시장,9,6751.6,1799.1
202407,감전천,0,84565.8,5701.2
202407,감전천,1,37892.3,5139.0
202407,감전천,2,7857.7,455.1
202407,감전천,3,24416.1,1486.3
202407,감전천,4,469.1,0.0
202407,감전천,9,17267.7,2053.3
202407,괘법동 행정복지세터,0,18510.7,2621.0
202407,괘법동 행정복지세터,1,8670.5,2348.5
202407,괘법동 행정복지세터,2,10228.2,2495.1
202407,괘법동 행정복지세터,3,13701.2,11874.4
202407,괘법동 행정복지세터,4,335.5,29.7
202407,괘법동 행정복지세터,9,3528.7,1137.3
202407,르네시떼,0,83434.8,4494.2
202407,르네시떼,1,38694.9,4886.4
202407,르네시떼,2,47420.7,6231.9
202407,르네시떼,3,29757.5,20786.2
202407,르네시떼,4,646.5,16.3
202407,르네시떼,9,14018.5,2206.3
202407,사상 보건소,0,19296.8,1948.1
202407,사상 보건소,1,10133.2,2213.6
202407,사상 보건소,2,7673.7,1026.5
202407,사상 보건소,3,6003.1,3612.8
202407,사상 보건소,4,93.8,0.0
202407,사상 보건소,9,4040.8,883.0
202407,사상근린공원,0,13248.3,1874.9
202407,사상근린공원,1,6558.0,1129.3
202407,사상근린공원,2,3951.7,590.6
202407,사상근린공원,3,5232.4,3258.9
202407,사상근린공원,4,63.3,10.6
202407,사상근린공원,9,2952.6,1015.9
202407,사상인디스테이션,0,120546.8,11585.5
202407,사상인디스테이션,1,62650.7,11493.4
202407,사상인디스테이션,2,108622.5,18772.8
202407,사상인디스테이션,3,80188.8,64474.5
202407,사상인디스테이션,4,2228.9,134.7
202407,사상인디스테이션,9,20282.2,4825.2
202407,사상평생학습관,0,12602.7,1620.3
202407,사상평생학습관,1,5366.2,1436.4
202407,사상평생학습관,2,5435.1,825.7
202407,사상평생학습관,3,7283.4,5983.7
202407,사상평생학습관,4,76.4,3.4
202407,사상평생학습관,9,3104.8,1046.4
202407,삼락생태공원낙동제방인샘꽃길,0,224.4,18.4
202407,삼락생태공원낙동제방인샘꽃길,1,98.5,29.8
202407,삼락생태공원낙동제방인샘꽃길,2,95.9,0.0
202407,삼락생태공원낙동제방인샘꽃길,3,331.2,243.7
202407,삼락생태공원낙동제방인샘꽃길,9,118.0,55.3
202407,삼성테스코홈플러스서부산점,0,83434.8,4494.2
202407,삼성테스코홈플러스서부산점,1,38694.9,4886.4
202407,삼성테스코홈플러스서부산점,2,47420.7,6231.9
202407,삼성테스코홈플러스서부산점,3,29757.5,20786.2
202407,삼성테스코홈플러스서부산점,4,646.5,16.3
202407,삼성테스코홈플러스서부산점,9,14018.5,2206.3
202407,새벽시장,0,104475.7,10902.8
202407,새벽시장,1,41135.0,8696.0
202407,새벽시장,2,13534.7,2197.4
202407,새벽시장,3,16145.2,12812.3
202407,새벽시장,4,255.0,40.7
202407,새벽시장,9,13580.5,3285.3
202407,애플 아울렛 서부시외버스터미널,0,492319.4,48116.2
202407,애플 아울렛 서부시외버스터미널,1,258906.6,49139.4
202407,애플 아울렛 서부시외버스터미널,2,457254.0,76452.8
202407,애플 아울렛 서부시외버스터미널,3,354467.9,285093.6
202407,애플 아울렛 서부시외버스터미널,4,10045.2,683.8
202407,애플 아울렛 서부시외버스터미널,9,82214.8,20453.1
202407,이마트 사상점,0,83434.8,4494.2
202407,이마트 사상점,1,38694.9,4886.4
202407,이마트 사상점,2,47420.7,6231.9
202407,이마트 사상점,3,29757.5,20786.2
202407,이마트 사상점,4,646.5,16.3
202407,이마트 사상점,9,14018.5,2206.3
202407,창날공원,0,8548.0,1284.9
202407,창날공원,1,3419.2,764.6
202407,창날공원,2,3947.1,763.4
202407,창날공원,3,8322.5,6396.4
202407,창날공원,4,129.7,10.8
202407,창날공원,9,2229.1,903.1
