STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202409,개금3동 주민센터,0,31675.7,3388.0
202409,개금3동 주민센터,1,16803.9,4020.7
202409,개금3동 주민센터,2,11413.0,959.1
202409,개금3동 주민센터,3,18203.9,10257.9
202409,개금3동 주민센터,4,223.7,28.2
202409,개금3동 주민센터,9,10169.6,1995.2
202409,개금종합사회복지관,0,8356.6,1753.3
202409,개금종합사회복지관,1,6110.3,2309.3
202409,개금종합사회복지관,2,1755.7,291.9
202409,개금종합사회복지관,3,6474.6,5615.5
202409,개금종합사회복지관,4,54.1,6.1
202409,개금종합사회복지관,9,2618.6,849.2
202409,개금테마공원,0,110669.6,19416.6
202409,개금테마공원,1,71414.3,26862.9
202409,개금테마공원,2,20978.8,2641.4
202409,개금테마공원,3,68098.2,53414.0
202409,개금테마공원,4,1051.5,127.8
202409,개금테마공원,9,40672.0,12703.6
202409,개성고등학교,0,20044.1,5589.8
202409,개성고등학교,1,18175.6,10052.5
202409,개성고등학교,2,2220.9,642.9
202409,개성고등학교,3,14202.4,13585.5
202409,개성고등학교,4,184.2,51.0
202409,개성고등학교,9,5415.2,2646.7
202409,당감4동 주민센터,0,2621.6,1251.6
202409,당감4동 주민센터,1,2767.6,2254.2
202409,당감4동 주민센터,2,325.9,128.4
202409,당감4동 주민센터,3,3314.1,3218.0
202409,당감4동 주민센터,4,22.4,17.9
202409,당감4동 주민센터,9,1101.2,801.0
202409,당감골목시장,0,16417.7,2687.8
202409,당감골목시장,1,14715.4,4989.3
202409,당감골목시장,2,2668.2,564.6
202409,당감골목시장,3,12307.2,9348.1
202409,당감골목시장,4,114.8,17.0
202409,당감골목시장,9,6762.0,2139.8
202409,당감사회복지관,0,39667.3,5818.0
202409,당감사회복지관,1,16734.8,3146.3
202409,당감사회복지관,2,7734.1,691.8
202409,당감사회복지관,3,30506.5,24597.0
202409,당감사회복지관,4,335.6,34.2
202409,당감사회복지관,9,17604.3,5621.2
202409,당감행복마루센터,0,25991.7,4702.2
202409,당감행복마루센터,1,10237.1,2614.0
202409,당감행복마루센터,2,5625.7,655.2
202409,당감행복마루센터,3,19867.5,14954.0
202409,당감행복마루센터,4,322.0,55.8
202409,당감행복마루센터,9,10873.1,4017.2
202409,백양가족공원,0,22742.5,3563.8
202409,백양가족공원,1,17311.9,6770.0
202409,백양가족공원,2,2682.2,400.3
202409,백양가족공원,3,7366.4,6751.2
202409,백양가족공원,4,114.1,16.4
202409,백양가족공원,9,5013.8,1469.7
202409,부산진구 동네 청년아루,0,25946.8,4702.2
202409,부산진구 동네 청년아루,1,10172.3,2610.0
202409,부산진구 동네 청년아루,2,5623.6,655.2
202409,부산진구 동네 청년아루,3,19797.6,14903.9
202409,부산진구 동네 청년아루,4,322.0,55.8
202409,부산진구 동네 청년아루,9,10847.5,4012.7
202409,부산진구 생활문화센터,0,75046.2,12156.3
202409,부산진구 생활문화센터,1,61091.9,19364.0
202409,부산진구 생활문화센터,2,11658.1,1413.8
202409,부산진구 생활문화센터,3,58867.5,51122.0
202409,부산진구 생활문화센터,4,639.5,86.9
202409,부산진구 생활문화센터,9,25257.5,7874.5
202409,부산진구 어린이청소년 도서관,0,13813.3,2366.0
202409,부산진구 어린이청소년 도서관,1,6709.8,1705.3
202409,부산진구 어린이청소년 도서관,2,2259.4,144.6
202409,부산진구 어린이청소년 도서관,3,9656.2,7423.0
202409,부산진구 어린이청소년 도서관,4,101.4,7.5
202409,부산진구 어린이청소년 도서관,9,6198.5,2030.5
202409,부산진구여성가족문화센터,0,25964.7,2730.7
202409,부산진구여성가족문화센터,1,14363.3,2961.5
202409,부산진구여성가족문화센터,2,7041.9,324.1
202409,부산진구여성가족문화센터,3,16497.3,11665.4
202409,부산진구여성가족문화센터,4,300.1,14.6
202409,부산진구여성가족문화센터,9,10557.5,2633.1
202409,새당감시장,0,39661.4,5768.7
202409,새당감시장,1,16812.2,3209.7
202409,새당감시장,2,7737.9,692.4
202409,새당감시장,3,29985.8,24139.6
202409,새당감시장,4,335.6,34.2
202409,새당감시장,9,17510.1,5532.7
202409,한국신발관,0,46658.7,4756.8
202409,한국신발관,1,20238.5,3606.4
202409,한국신발관,2,14930.1,1418.4
202409,한국신발관,3,27052.4,11919.9
202409,한국신발관,4,398.4,20.3
202409,한국신발관,9,16914.7,3535.4
