STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202409,마라323767,1,0,3.28,15.53,30.87,24.64,55.49,30.13,105.87,81.11,37.63,12.72,20.79,20.3,58.34,26.01,40.34,37.48,24.89,12.12,65.42,12.79,2.46,5.81,11.12,5.82
202409,마라323772,1,0,3.5,0.0,10.95,9.83,18.46,3.28,22.13,4.01,14.72,15.2,38.55,55.08,37.34,28.41,70.88,122.99,57.65,55.61,42.21,57.71,38.24,67.59,42.14,3.26
202409,마라325764,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0
202409,마라326768,1,0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202409,마라327791,1,0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,7.48,7.52,3.76,0.0,3.76,0.0,0.0
202409,마라328769,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0
202409,마라328789,1,0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,11.28,22.56,3.76,3.76,0.0,0.0,0.0
202409,마라328790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,2.78,2.78,16.68,2.78,2.78,5.56,15.25,10.8,16.04,6.47,3.65
202409,마라329771,1,0,5.58,26.61,16.0,7.2,14.16,20.47,19.32,54.71,55.24,80.87,106.22,192.1,157.03,83.44,180.5,222.58,303.57,308.01,208.53,248.69,238.47,183.36,127.35,37.04
202409,마라329788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,6.99,6.99,2.33,0.0,0.0,2.33,0.0,0.0,0.0
202409,마라329791,1,0,165.71,387.67,352.41,200.66,199.88,258.05,264.0,238.14,255.24,339.04,456.99,835.16,998.65,1195.4,1416.07,2135.52,2816.6,3614.66,4589.88,3671.93,3254.52,2946.06,2178.36,657.59
202409,마라330783,1,0,131.26,309.23,337.46,322.58,218.15,198.64,404.66,366.18,322.22,341.88,643.75,1012.16,1475.94,1292.62,1799.59,2382.81,3219.93,4734.66,5711.23,4868.88,4276.84,3108.89,2302.21,749.4
202409,마라330786,1,0,15.0,15.0,5.82,12.89,3.32,12.25,35.39,33.37,11.02,12.78,6.99,0.0,37.08,14.67,20.2,25.62,22.38,68.72,50.73,24.16,30.7,10.51,8.18,10.23
202409,마라330788,1,0,32.38,115.93,91.7,66.98,93.62,113.43,125.85,101.48,80.85,97.35,264.56,339.15,444.83,359.0,449.46,578.13,1049.55,1470.1,1631.84,1352.92,1208.52,1029.85,813.8,220.26
202409,마라330790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.43
202409,마라331768,1,0,13.79,42.71,28.8,40.44,64.35,60.88,109.86,215.58,102.04,68.5,102.82,154.51,199.48,200.76,257.14,284.38,388.89,491.77,538.55,407.27,364.54,366.5,176.71,65.68
202409,마라331781,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,14.34,7.17,0.0,2.39,0.0,3.8,4.78,7.6,6.19,3.8,3.8,0.0
202409,마라331786,1,0,35.21,93.34,73.84,168.29,89.82,129.87,157.9,126.43,158.26,108.17,117.63,307.39,321.33,314.55,470.75,552.19,808.8,971.58,1492.06,1140.77,965.88,806.06,676.86,207.54
202409,마라331787,1,0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,7.92,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,3.76,0.0
202409,마라332763,1,0,44.7,88.22,86.92,65.07,65.73,36.3,24.82,21.28,3.37,7.58,21.89,50.7,37.04,23.02,26.97,63.18,54.18,31.44,73.24,36.48,73.39,39.95,70.25,44.21
202409,마라332786,1,0,0.0,0.0,5.78,2.89,0.0,0.0,0.0,0.0,0.0,2.89,0.0,2.89,2.89,0.0,2.89,2.89,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0
202409,마라333786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,4.5,6.46,15.09,15.45,7.0
202409,마라333789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,10.89,7.26,0.0,21.18,17.4,31.47,0.0,0.0,0.0,10.44,45.54,0.0
202409,마라333790,1,0,37.71,197.65,123.22,118.85,93.26,76.29,114.49,55.13,126.41,134.86,176.5,368.85,416.23,432.26,499.56,807.33,1236.57,1621.76,1907.31,1674.96,1474.63,1383.68,1046.1,270.46
202409,마라334766,1,0,19.53,26.71,7.31,24.27,4.78,7.36,27.67,2.32,20.09,16.88,38.58,61.75,79.08,93.17,171.21,234.52,335.27,385.75,444.61,422.07,483.22,310.25,259.56,67.13
202409,마라334767,1,0,0.0,5.69,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,2.39,2.43,13.5,13.08,5.72,31.89,55.97,76.28,53.58,58.13,22.03,42.26,21.26,17.58
202409,마라334768,1,0,57.81,162.39,151.41,85.44,75.78,122.03,188.16,122.75,125.71,158.81,294.42,420.55,624.66,690.32,892.96,1326.93,1820.47,2036.52,2505.1,1966.02,1815.45,1589.06,1267.27,355.15
202409,마라334782,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202409,마라334786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,3.35,0.0,6.7,3.35,0.0,3.35,0.0,4.01,6.7,3.75,20.01,0.0,7.1,13.85,6.93,13.56,3.35
202409,마라334787,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,6.86,0.0,10.37,0.0,3.51,6.86,14.04,3.35,6.86,0.0,0.0,0.0
202409,마라334788,1,0,132.71,322.85,225.12,173.85,133.17,229.61,193.55,162.27,236.24,345.54,466.81,771.05,1036.77,1216.8,1420.44,2080.77,2831.11,3778.22,4687.25,4167.12,3237.32,2940.54,2214.08,545.01
202409,마라334789,1,0,0.0,3.22,3.22,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,6.44,0.0,0.0,3.22,0.0,0.0,0.0,6.44,0.0,3.22,0.0
202409,마라335767,1,0,56.29,159.53,151.56,81.24,63.09,82.57,123.78,72.89,121.58,124.97,253.51,395.8,606.58,609.54,608.79,967.61,1234.1,1890.06,2539.89,1857.58,1544.75,1404.67,1092.62,297.93
202409,마라335768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,2.73,7.32,3.66,7.32,0.0
202409,마라335769,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202409,마라335770,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,3.28,0.0
202409,마라335772,1,0,29.76,42.48,46.26,35.13,22.07,52.04,52.93,39.83,40.45,60.51,148.26,157.82,204.12,197.22,225.33,256.75,352.67,473.86,535.0,368.34,344.06,277.43,301.84,101.51
202409,마라335776,1,0,3.31,6.81,37.83,25.29,6.99,21.83,45.51,21.59,24.94,38.35,96.38,74.94,87.41,64.5,65.82,146.85,93.6,45.45,76.55,63.42,66.19,82.69,35.46,10.3
202409,마라335777,1,0,0.0,7.72,3.79,0.0,0.0,0.0,0.0,0.0,8.2,3.5,0.0,8.2,0.0,0.0,0.0,3.79,0.0,3.55,5.98,3.76,16.89,30.11,36.73,10.78
202409,마라335783,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,6.48,0.0,0.0,0.0,0.0,0.0
202409,마라335786,1,0,0.0,17.23,0.0,6.8,4.1,0.0,0.0,0.0,0.0,0.0,7.38,0.0,3.8,7.13,3.33,11.48,4.1,45.52,58.13,54.85,61.77,36.72,41.24,25.95
202409,마라335788,1,0,3.5,3.33,3.46,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,19.98,16.65,0.0,0.0,0.0,3.33,0.0,0.0,10.29,10.37,16.82,10.29,0.0
202409,마라335790,1,0,71.74,213.21,189.13,119.95,106.76,93.14,146.97,208.45,156.6,285.62,517.84,796.04,1140.95,1261.09,1537.57,1897.88,2881.8,3752.5,4572.69,3521.18,3042.72,2924.7,1887.78,597.36
202409,마라336767,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,15.54,13.66,7.77,13.78,24.2,2.42,2.42,14.38,5.72,6.6,3.3
202409,마라336768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,5.94,3.48,12.9,12.73,5.94,6.82,3.34,18.84,18.07,9.62,21.78,8.82,2.94
202409,마라336771,1,0,25.06,58.2,36.2,31.79,49.58,68.78,93.71,49.18,61.4,74.67,136.82,191.29,274.57,173.66,214.77,302.22,399.87,552.39,558.72,481.86,395.84,264.65,191.07,58.82
202409,마라336773,1,0,15.25,51.0,31.16,20.29,26.03,31.4,44.26,64.68,90.74,85.96,119.77,82.9,131.62,101.59,162.38,271.94,264.74,321.31,381.53,276.12,226.09,202.45,155.81,69.4
202409,마라336777,1,0,0.0,10.61,11.95,0.0,14.17,10.95,13.74,23.51,24.75,6.8,15.18,23.42,41.98,21.96,58.64,75.86,114.47,86.22,84.63,111.77,65.04,154.7,156.08,23.82
202409,마라336783,1,0,14.33,48.66,38.97,19.35,17.13,39.84,50.83,94.46,40.74,38.6,27.96,76.82,103.28,61.95,63.9,138.49,235.17,180.42,272.36,326.56,341.8,304.57,164.26,60.28
202409,마라336784,1,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.06,10.5,6.44,9.44,10.28,18.44,31.58,9.22,3.0,0.0,0.0,0.0,0.0
202409,마라336789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.22,0.0,15.44,46.54,24.88,15.44,24.22,39.66,3.0,0.0,3.0,0.0
202409,마라336790,1,0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,3.76,3.65,0.0,7.16,28.85,3.58,15.04,14.93,22.16,31.27,6.93,12.0,42.81,31.57,9.4
202409,마라337768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.86,2.97,0.0,0.0,6.4,13.26,0.0,9.83,6.4,9.83,13.26,9.37,12.8,2.97,0.0
202409,마라337770,1,0,51.93,209.45,157.29,166.49,159.6,144.09,228.2,119.22,154.46,231.69,278.45,471.33,568.65,481.71,549.52,757.52,1112.52,1306.85,1389.11,1201.66,1023.67,1105.09,847.67,284.23
202409,마라337784,1,0,0.0,1.72,0.0,0.0,7.08,0.0,0.0,0.0,3.33,0.0,6.73,3.75,0.0,7.04,3.5,40.8,18.41,7.15,59.12,45.78,10.48,62.53,21.06,16.39
202409,마라337785,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.5,3.8,0.0,0.0,0.0,7.06,3.8
202409,마라337790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,3.51,0.0,0.0,7.31,3.51,0.0,10.53,16.69,45.45,35.14,22.61,38.89,25.92,12.03,0.0
202409,마라338770,1,0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,6.58,0.0,3.29,3.29,0.0,6.58,11.28,4.7,0.0
202409,마라338771,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.09,14.13,0.0,0.0,7.0,7.0,7.0,7.0,9.32,28.04,20.06,13.74,19.68,3.5
202409,마라338772,1,0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,2.46,2.46,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0
202409,마라338781,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0
202409,마라338783,1,0,19.63,13.43,11.06,28.68,20.34,20.51,29.64,27.82,32.25,40.27,33.08,49.43,21.09,32.78,36.6,67.25,83.1,95.7,188.98,141.59,135.46,109.75,62.48,39.84
202409,마라338784,1,0,0.0,6.47,3.65,9.9,3.37,3.37,6.91,3.37,0.0,12.09,7.12,6.9,17.08,11.23,6.31,30.07,51.42,70.43,68.29,45.26,122.88,16.17,7.16,0.0
202409,마라338785,1,0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,4.1,0.0,8.2,16.4,12.46,79.45,55.8,6.8,0.0,0.0
202409,마라339770,1,0,18.03,66.36,43.01,33.93,80.52,47.42,83.07,76.91,71.78,108.49,176.2,133.83,203.56,169.78,313.7,299.0,448.64,606.37,613.43,601.51,478.68,331.37,201.91,76.57
202409,마라339774,1,0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04,3.38,6.91,18.65,6.15,18.85,10.39,19.87,3.74
202409,마라339775,1,0,0.0,10.31,16.83,10.85,23.36,22.14,52.52,46.73,30.98,9.8,30.74,30.12,28.43,18.47,16.85,22.94,15.48,17.11,41.37,10.52,3.5,6.59,24.15,2.36
202409,마라339779,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,2.63,2.63,2.63,0.0,0.0,5.53,0.0,8.7,22.66,20.03,2.63,0.0,0.0,0.0,0.0
202409,마라339784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,7.03,13.71,37.11,20.03,6.32,23.19,11.61,16.51,0.0
202409,마라339785,1,0,0.0,4.04,0.0,0.0,0.0,0.0,7.1,3.09,0.0,16.04,16.04,23.14,3.09,0.0,6.18,44.11,17.32,3.09,0.0,0.0,0.0,0.0,0.0,0.0
202409,마라340769,1,0,0.0,26.93,32.31,14.77,28.15,39.87,26.33,29.69,23.52,39.77,44.0,68.75,76.93,161.66,218.46,115.82,197.49,331.42,268.53,172.29,225.6,216.91,101.11,47.28
202409,마라340771,1,0,53.87,283.07,159.07,165.7,179.36,265.01,206.58,234.47,191.0,275.65,392.37,549.47,745.85,708.91,759.84,1182.1,1301.06,1582.81,1762.18,2032.39,1793.8,1532.25,1002.06,299.77
202409,마라340784,1,0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,5.62,8.43,8.82,20.76,3.09,3.09,5.9,3.09,5.9,0.0
202409,마라340785,1,0,51.39,195.81,170.8,173.26,131.36,152.34,291.15,205.9,187.23,199.77,305.0,494.82,622.76,737.3,852.83,1178.63,1639.42,2086.51,2337.9,2109.51,1920.63,1554.19,1278.94,381.07
202409,마라340787,1,0,3.16,3.54,3.5,3.54,0.0,7.0,10.06,13.9,7.07,3.57,13.08,23.45,19.43,56.73,19.77,51.47,71.95,82.93,151.14,94.44,71.83,49.89,26.94,21.59
202409,마라340788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,5.49,26.8,2.68,0.0,2.68,27.71,5.49
202409,마라341759,1,0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,13.5,9.0,9.0,8.88,35.38,17.61,8.88,0.0,0.0
202409,마라341760,1,0,0.0,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,20.19,4.27,8.54,4.16,0.0,7.7,0.0
202409,마라341761,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81,0.0,21.35,12.81,0.0,4.27,0.0,3.74
202409,마라341767,1,0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.85,3.85,3.85,7.61,15.4,19.25,0.0,7.61,3.76,7.61,0.0
202409,마라341774,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.42,0.0,0.0,5.8,0.0,10.46,8.37,7.72,8.32,10.04,3.66
202409,마라341776,1,0,0.0,3.8,6.72,7.26,7.46,3.63,22.85,7.4,3.06,5.96,9.62,2.92,0.0,2.33,3.26,2.86,7.02,4.34,0.0,6.66,6.74,13.27,13.95,0.0
202409,마라341783,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,5.76,5.76,8.73,2.79,0.0,2.79,0.0,0.0
202409,마라341787,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,8.08,7.58,4.04,7.08,0.0
202409,마라341788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,3.09,3.09,0.0,0.0,6.18,3.09,9.86,3.09,15.12,40.1,7.1,18.21,0.0,0.0,0.0
202409,마라342759,1,0,48.79,168.39,159.55,115.21,122.86,96.71,119.62,210.91,179.81,268.73,432.13,647.71,779.8,946.75,964.25,1385.43,2188.53,3073.8,3831.39,3119.93,2584.88,1962.2,1352.18,290.11
