STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202410,마라337838,1,0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라337841,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,0.0,0.0
202410,마라337842,1,0,0.0,2.95,0.0,41.35,24.61,9.46,37.21,38.22,13.07,28.65,54.87,13.34,71.96,54.12,82.81,107.46,77.67,36.85,24.94,40.6,30.3,30.85,16.83,3.5
202410,마라338836,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,17.5,0.0,0.0,3.5,0.0,0.0,3.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라339838,1,0,14.64,116.37,69.91,49.87,86.32,95.12,250.03,211.64,146.86,121.87,168.63,149.66,191.48,194.5,273.9,354.43,377.44,455.03,475.81,352.25,307.88,284.14,218.8,101.49
202410,마라340842,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라340846,1,0,12.48,32.81,29.05,32.21,32.1,94.27,108.17,172.43,147.88,73.83,64.4,59.78,92.46,87.67,82.86,159.06,137.66,138.06,124.05,136.59,115.15,74.2,42.0,10.57
202410,마라342836,1,0,73.99,171.76,202.92,176.9,190.77,235.27,183.61,201.78,242.24,434.41,454.84,876.76,1193.25,913.55,1231.15,1847.04,2701.56,3108.81,3476.67,2447.68,1749.57,1782.08,1309.51,370.92
202410,마라342854,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,3.26,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라342856,1,0,16.4,73.73,66.0,83.55,60.74,55.62,69.12,66.23,40.95,65.16,179.74,241.02,259.11,205.92,295.69,398.02,625.45,511.43,828.15,672.61,622.13,361.94,350.83,69.32
202410,마라343844,1,0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라343849,1,0,30.14,35.38,7.77,16.66,28.48,80.07,44.16,253.28,25.09,52.43,46.8,68.02,57.27,60.3,69.1,111.55,89.02,41.84,104.7,150.22,138.96,136.77,47.14,14.98
202410,마라344867,1,0,15.79,22.41,27.59,16.46,27.13,29.08,24.02,27.87,26.72,32.32,52.94,83.4,79.27,71.83,113.33,151.28,189.56,255.21,330.3,286.35,270.74,228.66,281.23,77.02
202410,마라345851,1,0,12.25,68.2,53.82,48.95,60.23,63.63,69.83,177.73,112.44,59.34,134.86,132.01,151.44,148.76,167.16,219.03,489.61,473.51,548.99,430.55,349.87,160.63,163.47,58.59
202410,마라345859,1,0,0.0,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,3.71,0.0
202410,마라345862,1,0,0.0,0.0,3.15,0.0,3.46,0.0,0.0,0.0,6.92,3.73,7.29,3.46,11.22,3.15,0.0,4.3,3.5,4.3,13.47,9.43,12.0,31.87,17.68,5.88
202410,마라345863,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라345864,1,0,4.11,8.41,0.0,0.0,6.15,2.83,4.02,10.08,25.92,3.43,27.66,30.24,7.82,14.88,3.89,6.74,14.29,37.08,13.04,10.94,3.33,4.3,19.02,9.72
202410,마라346852,1,0,19.02,93.11,121.82,114.15,129.3,76.49,131.49,66.86,47.47,34.06,70.55,166.86,141.18,279.14,279.69,383.62,407.66,449.99,573.8,470.43,413.61,252.63,330.79,85.7
202410,마라346853,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,2.51,3.94,12.55,12.9,2.51,6.45,7.01,8.44,21.55,8.96,60.95,5.02,18.46,9.46,0.0
202410,마라346864,1,0,30.11,133.03,112.13,80.06,85.46,132.59,188.31,79.92,68.51,118.54,269.89,370.88,353.48,378.7,461.33,492.45,722.01,923.97,1128.46,690.22,811.69,681.11,637.55,116.36
202410,마라346866,1,0,0.0,3.99,3.83,0.0,0.0,0.0,0.0,0.0,7.82,7.98,0.0,3.83,0.0,3.83,3.54,25.52,21.11,32.92,21.37,3.83,10.41,7.08,28.28,3.42
202410,마라346868,1,0,0.0,2.96,2.96,0.0,0.0,0.0,6.24,0.0,0.0,2.96,2.83,2.83,5.66,8.49,8.62,8.62,8.75,5.79,3.93,0.0,14.62,27.33,2.56,0.0
202410,마라346870,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,0.0,0.0
202410,마라347854,1,0,36.61,77.8,57.89,54.74,40.24,49.62,72.51,51.13,44.64,55.32,63.53,135.88,127.5,109.91,117.4,197.66,383.08,493.21,599.95,451.74,425.9,397.42,272.33,63.82
202410,마라347859,1,0,35.13,57.84,72.15,77.0,50.86,163.49,187.76,195.55,152.06,179.25,185.94,178.35,241.39,176.75,162.05,218.49,297.94,359.81,442.48,368.69,356.05,240.95,276.66,120.44
202410,마라347861,1,0,3.47,0.0,11.15,7.68,0.0,1.82,7.95,0.0,9.71,0.0,0.0,7.49,12.92,16.33,13.21,9.22,12.71,39.86,21.25,33.7,91.81,36.04,27.43,35.45
202410,마라347864,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,3.42,0.0,3.42,2.89,0.0,9.2,0.0,0.0,2.89,2.89,0.0,0.0,2.89
202410,마라347865,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,3.73,3.73,22.95,32.69,17.2,50.25,8.03,4.3,19.58,15.22,4.3,11.49,0.0
202410,마라347866,1,0,62.33,155.26,103.99,104.55,141.37,136.54,67.46,92.66,93.66,152.64,235.27,486.24,527.21,443.13,678.97,890.96,1109.71,1751.81,2096.95,1658.33,1281.42,1122.9,959.05,286.46
202410,마라347868,1,0,0.0,4.11,4.11,0.0,0.0,0.0,3.97,3.97,12.47,32.74,12.12,8.08,20.62,33.61,11.04,34.77,26.61,24.73,99.01,69.09,110.99,95.38,34.04,6.61
202410,마라347869,1,0,0.0,8.36,3.42,0.0,0.0,0.0,4.18,0.0,4.18,4.18,6.95,23.95,27.89,26.71,26.23,49.25,49.52,70.11,77.63,76.16,70.62,28.0,42.12,13.77
202410,마라348855,1,0,19.44,63.19,83.69,67.54,56.6,56.74,56.68,63.74,38.72,109.08,138.53,172.23,304.8,286.42,356.5,395.07,513.1,867.87,953.85,747.14,704.23,540.82,285.52,109.33
202410,마라348858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,3.46,3.83,0.0,3.83,14.58,22.61,7.66,19.15,7.66,7.66,3.83,0.0
202410,마라348859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,2.85,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라348861,1,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.99,3.06,0.0,6.34,3.8,10.03,11.54,0.0,3.89,6.63,3.5,31.39,17.75,31.37,17.61,81.65,10.93
202410,마라348862,1,0,0.0,7.05,14.39,13.22,3.33,11.48,3.28,0.0,0.0,7.0,0.0,16.68,17.19,6.17,27.97,29.78,17.76,54.65,42.67,30.96,40.25,38.76,31.81,23.68
202410,마라348866,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,3.73,0.0,3.73,0.0
202410,마라348867,1,0,38.67,135.52,196.02,156.79,142.33,151.45,156.42,130.28,158.91,135.57,163.23,258.47,309.78,455.37,546.26,787.65,957.84,1303.5,1634.23,1230.0,1310.22,1329.8,952.47,203.06
202410,마라348868,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,8.18,0.0,0.0,7.52,16.36,27.97,12.27,0.0,0.0,0.0,0.0,0.0
202410,마라349849,1,0,0.0,3.42,0.0,0.0,0.0,0.0,26.65,9.71,21.78,17.76,6.53,10.59,0.0,12.18,3.43,3.73,6.4,6.4,3.5,3.42,0.0,0.0,0.0,0.0
202410,마라349860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46
202410,마라349862,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,2.77,2.77,2.77,5.54,2.77,2.77,2.77,0.0
202410,마라349863,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,11.43,3.81,0.0,0.0,6.84,6.84,45.84,50.92,38.85,18.31,13.45,0.0
