STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202411,2955275.6,0,1,556063.1,18.8
202411,2955275.6,0,2,108959.6,3.7
202411,2955275.6,0,4,334806.0,11.3
202411,2955275.6,1,1,328802.8,11.1
202411,2955275.6,1,2,88981.2,3.0
202411,2955275.6,1,4,193350.3,6.5
202411,2955275.6,2,1,164517.5,5.6
202411,2955275.6,2,2,40413.6,1.4
202411,2955275.6,2,4,79045.8,2.7
202411,2955275.6,3,1,363051.6,12.3
202411,2955275.6,3,2,117439.7,4.0
202411,2955275.6,3,4,202945.6,6.9
202411,2955275.6,4,1,5555.5,0.2
202411,2955275.6,4,2,549.6,0.0
202411,2955275.6,4,4,3358.9,0.1
202411,2955275.6,9,1,190743.9,6.5
202411,2955275.6,9,2,57846.0,2.0
202411,2955275.6,9,4,118844.9,4.0
