STD_YM,gid,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202501,마라323767,1,0,10.15,22.57,0.0,12.08,20.73,57.52,110.87,116.59,56.22,28.2,15.78,51.78,29.8,54.17,48.3,57.76,30.6,22.92,63.38,39.76,16.37,15.75,2.37,6.3
202501,마라323771,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,3.58,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202501,마라323772,1,0,0.0,3.14,22.5,3.21,15.32,21.83,31.78,23.41,22.19,16.75,71.83,48.03,56.04,31.67,74.37,91.15,58.56,80.2,78.21,39.69,79.9,45.7,27.36,16.23
202501,마라325764,1,0,0.0,0.0,0.0,0.0,7.0,3.5,3.5,3.46,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0
202501,마라325778,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0
202501,마라326768,1,0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202501,마라327789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,7.89,7.65,11.2,3.68,0.0,0.0
202501,마라327791,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,7.12,0.0,10.72,3.14,27.51,36.21,10.47,35.37,20.84,24.84,3.36,0.0
202501,마라328769,1,0,0.0,0.0,0.0,3.38,0.0,0.0,3.38,3.28,0.0,3.28,3.28,3.28,6.56,0.0,0.0,0.0,0.0,2.63,2.63,6.56,3.28,8.54,12.47,3.28
202501,마라328789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,20.64,20.64,0.0,0.0,0.0,0.0,0.0
202501,마라328790,1,0,7.71,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,18.66,10.83,9.9,9.18,24.67,27.39,55.11,55.77,30.19,27.5,10.3
202501,마라329771,1,0,0.0,8.8,5.49,7.87,13.93,30.35,52.24,63.23,39.61,64.27,103.46,155.32,133.68,136.66,181.9,258.0,269.51,186.65,207.09,179.18,139.29,149.93,77.17,12.05
202501,마라329788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,10.24,2.56,2.56,0.0,0.0,0.0,0.0,2.56,0.0,0.0
202501,마라329791,1,0,129.37,354.12,325.16,238.47,104.93,183.81,284.72,218.34,191.25,260.53,499.11,707.11,1108.27,1080.22,1342.86,2005.01,2528.24,3341.4,4222.82,3295.27,2739.14,2345.37,1864.07,544.17
202501,마라330783,1,0,127.22,299.97,371.48,268.13,167.33,195.73,376.07,442.22,282.85,314.98,521.57,918.14,1194.21,1291.27,1529.94,2121.41,3085.11,4388.25,5169.26,4586.54,3567.65,2741.24,1901.12,492.84
202501,마라330786,1,0,17.4,0.0,9.46,6.29,2.35,3.61,45.32,30.6,23.13,3.36,0.0,7.64,33.53,15.21,26.01,28.72,49.87,27.59,40.76,54.32,11.77,13.41,6.79,0.0
202501,마라330788,1,0,17.92,102.45,101.18,102.35,69.71,92.88,75.66,66.23,49.31,114.21,241.78,367.62,403.94,335.73,378.01,616.06,994.25,1341.74,1381.11,1049.76,1148.48,851.06,777.45,222.9
202501,마라330790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,3.59,0.0,2.89,2.89,3.14,0.0,10.31,10.26,22.09,2.89
202501,마라331768,1,0,7.2,49.81,56.03,29.36,33.04,85.71,118.09,126.07,98.54,37.34,106.56,132.33,255.95,190.45,177.06,243.0,341.9,384.22,550.88,451.95,356.85,372.74,254.92,62.91
202501,마라331777,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,14.36,0.0,0.0,0.0,7.18,25.13,17.51,3.59,0.0,0.0,0.0
202501,마라331781,1,0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,13.46,9.63,0.0,3.83,3.83,11.49,11.49,15.32,22.98,3.83,0.0,0.0
202501,마라331786,1,0,45.2,118.06,94.84,70.65,74.27,131.43,140.99,151.49,117.14,73.55,157.48,210.19,392.21,385.63,476.67,656.01,700.19,1133.36,1376.16,1228.41,873.68,721.0,583.56,141.22
202501,마라331787,1,0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202501,마라332763,1,0,13.75,57.54,69.71,48.52,49.44,26.55,35.77,49.85,16.3,7.0,13.74,27.26,38.28,37.52,22.55,50.44,70.82,51.31,51.03,48.44,54.81,36.19,24.34,3.6
202501,마라332772,1,0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,2.68,0.0,2.65,0.0,0.0,0.0,0.0,0.0
202501,마라332784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,6.28,0.0,3.14,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0
202501,마라332786,1,0,0.0,0.0,0.0,3.23,0.0,3.23,0.0,6.98,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,3.49,0.0,0.0,3.5,0.0,3.23,0.0
202501,마라332790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,3.85,3.11,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202501,마라333786,1,0,0.0,4.18,0.0,0.0,3.75,0.0,0.0,0.0,0.0,7.04,12.85,8.36,0.0,0.0,4.5,3.61,3.61,10.89,32.49,23.95,6.5,7.59,32.36,3.21
202501,마라333787,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,10.05,0.0,6.7,6.7,15.44,3.86,7.72,0.0,6.7,0.0,0.0
202501,마라333789,1,0,14.02,18.34,3.83,11.23,15.19,7.53,7.53,0.0,0.0,0.0,6.42,7.34,9.87,9.71,9.67,7.53,57.22,21.18,21.38,17.89,15.8,10.59,43.47,3.21
202501,마라333790,1,0,63.04,155.14,163.71,41.82,33.3,27.63,82.39,100.35,76.19,112.23,184.67,288.53,533.49,616.69,563.52,872.62,1348.79,1697.4,1947.81,1538.18,1369.77,1243.47,906.75,267.42
202501,마라334766,1,0,7.96,25.38,23.47,23.69,5.64,11.99,3.25,9.31,12.0,38.55,41.42,104.39,109.09,117.19,166.83,194.78,240.74,447.7,566.43,437.03,410.52,315.41,265.45,48.0
202501,마라334767,1,0,9.62,2.87,0.0,2.63,8.99,8.16,5.96,0.0,0.0,0.0,8.52,5.84,15.21,40.29,18.28,71.97,80.23,109.74,87.73,96.02,52.45,54.07,38.1,16.56
202501,마라334768,1,0,56.72,170.6,111.45,91.38,98.16,82.37,116.12,130.76,96.78,115.84,360.93,477.97,676.44,810.67,804.72,1302.33,1856.35,1896.72,2195.23,2036.62,1578.62,1477.61,980.72,341.85
