STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202504,개금3동 주민센터,1,8501.6,2054.5
202504,개금3동 주민센터,2,3715.1,969.1
202504,개금3동 주민센터,3,3199.7,894.1
202504,개금3동 주민센터,4,2679.6,934.9
202504,개금3동 주민센터,5,2559.9,884.1
202504,개금3동 주민센터,6,2097.0,518.4
202504,개금3동 주민센터,7,1852.0,661.6
202504,개금3동 주민센터,8,2158.0,672.9
202504,개금3동 주민센터,9,2219.7,782.9
202504,개금3동 주민센터,10,1823.9,672.3
202504,개금종합사회복지관,1,2058.2,999.9
202504,개금종합사회복지관,2,1442.3,847.8
202504,개금종합사회복지관,3,1274.1,831.2
202504,개금종합사회복지관,4,1236.4,770.9
202504,개금종합사회복지관,5,754.0,410.7
202504,개금종합사회복지관,6,1216.7,707.4
202504,개금종합사회복지관,7,1273.6,792.6
202504,개금종합사회복지관,8,1742.1,1060.9
202504,개금종합사회복지관,9,1019.3,589.6
202504,개금종합사회복지관,10,1004.2,434.1
202504,개금테마공원,1,6970.2,2299.8
202504,개금테마공원,2,5399.6,1943.0
202504,개금테마공원,3,13434.8,3828.9
202504,개금테마공원,4,5003.0,2071.0
202504,개금테마공원,5,2460.9,1272.0
202504,개금테마공원,6,8181.6,2955.9
202504,개금테마공원,7,2916.9,1464.1
202504,개금테마공원,8,3569.0,1885.3
202504,개금테마공원,9,6020.0,2112.6
202504,개금테마공원,10,3464.9,1701.7
202504,개성고등학교,1,3977.2,1362.9
202504,개성고등학교,2,3412.2,1767.5
202504,개성고등학교,3,1767.0,911.6
202504,개성고등학교,4,2003.1,1254.6
202504,개성고등학교,5,1740.9,1043.1
202504,개성고등학교,6,2048.3,1290.9
202504,개성고등학교,7,1363.6,790.1
202504,개성고등학교,8,2809.3,2003.7
202504,개성고등학교,9,1138.7,693.2
202504,개성고등학교,10,1585.3,894.7
202504,당감4동 주민센터,1,769.4,679.9
202504,당감4동 주민센터,2,628.0,566.7
202504,당감4동 주민센터,3,485.0,485.0
202504,당감4동 주민센터,4,363.4,363.4
202504,당감4동 주민센터,5,340.1,340.1
202504,당감4동 주민센터,6,354.7,303.1
202504,당감4동 주민센터,7,308.0,305.5
202504,당감4동 주민센터,8,296.1,296.1
202504,당감4동 주민센터,9,301.1,275.8
202504,당감4동 주민센터,10,153.9,153.9
202504,당감골목시장,1,14420.2,4527.1
202504,당감골목시장,2,5531.5,2134.4
202504,당감골목시장,3,3669.0,1655.2
202504,당감골목시장,4,2809.6,1271.9
202504,당감골목시장,5,2372.4,1095.2
202504,당감골목시장,6,2037.5,1029.3
202504,당감골목시장,7,2090.2,794.6
202504,당감골목시장,8,1568.1,704.7
202504,당감골목시장,9,2151.5,1080.4
202504,당감골목시장,10,1029.1,570.8
202504,당감사회복지관,1,13692.9,4006.3
202504,당감사회복지관,2,4742.8,2144.9
202504,당감사회복지관,3,3489.6,1799.3
202504,당감사회복지관,4,2923.2,1383.4
202504,당감사회복지관,5,2278.8,1132.0
202504,당감사회복지관,6,2882.0,1643.2
202504,당감사회복지관,7,2817.3,1342.6
202504,당감사회복지관,8,2665.6,1217.9
202504,당감사회복지관,9,2898.0,1295.5
202504,당감사회복지관,10,3396.8,1653.4
202504,당감행복마루센터,1,9390.5,3547.8
202504,당감행복마루센터,2,3817.2,1748.3
202504,당감행복마루센터,3,2609.7,1027.3
