STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202504,감전동 행정복지센터,1,4310.0,1148.4
202504,감전동 행정복지센터,2,2222.5,639.3
202504,감전동 행정복지센터,3,1543.0,421.1
202504,감전동 행정복지센터,4,1149.3,444.6
202504,감전동 행정복지센터,5,1266.3,363.4
202504,감전동 행정복지센터,6,950.6,200.3
202504,감전동 행정복지센터,7,921.5,371.4
202504,감전동 행정복지센터,8,1318.3,502.5
202504,감전동 행정복지센터,9,1482.6,564.7
202504,감전동 행정복지센터,10,969.2,263.3
202504,감전시장,1,16623.5,4167.3
202504,감전시장,2,5195.4,1739.1
202504,감전시장,3,3184.3,1058.9
202504,감전시장,4,2274.7,749.8
202504,감전시장,5,1645.5,668.7
202504,감전시장,6,1551.1,533.0
202504,감전시장,7,1648.8,609.7
202504,감전시장,8,1460.4,653.2
202504,감전시장,9,1327.0,445.1
202504,감전시장,10,1807.4,635.7
202504,감전천,2,42.1,0.0
202504,감전천,3,11603.0,746.0
202504,감전천,4,576.3,52.6
202504,감전천,6,6105.8,406.1
202504,감전천,7,50.9,25.2
202504,감전천,8,343.4,52.5
202504,감전천,9,4387.9,273.4
202504,괘법동 행정복지세터,1,16334.9,3493.5
202504,괘법동 행정복지세터,2,3534.8,1212.7
202504,괘법동 행정복지세터,3,1590.5,620.1
202504,괘법동 행정복지세터,4,1031.8,448.5
202504,괘법동 행정복지세터,5,915.7,383.6
202504,괘법동 행정복지세터,6,1103.0,527.3
202504,괘법동 행정복지세터,7,783.6,405.8
202504,괘법동 행정복지세터,8,1044.1,427.9
202504,괘법동 행정복지세터,9,843.8,346.1
202504,괘법동 행정복지세터,10,910.9,394.1
202504,르네시떼,1,84573.1,11628.2
202504,르네시떼,2,28317.5,5392.9
202504,르네시떼,3,12281.3,2597.1
202504,르네시떼,4,6571.7,1604.8
202504,르네시떼,5,3886.7,1174.1
202504,르네시떼,6,2669.0,883.5
202504,르네시떼,7,1896.6,704.3
202504,르네시떼,8,2237.9,616.2
202504,르네시떼,9,1391.5,384.6
202504,르네시떼,10,1994.9,667.4
202504,사상 보건소,1,10876.5,1764.2
202504,사상 보건소,2,6482.6,1433.4
202504,사상 보건소,3,1445.2,310.7
202504,사상 보건소,4,2687.7,689.7
202504,사상 보건소,5,1055.4,277.8
202504,사상 보건소,6,1738.4,426.7
202504,사상 보건소,7,538.6,62.7
202504,사상 보건소,8,1541.5,437.9
202504,사상 보건소,9,797.6,94.6
202504,사상 보건소,10,1711.5,555.0
202504,사상근린공원,1,8532.3,1359.6
202504,사상근린공원,2,2063.3,420.5
202504,사상근린공원,3,1236.8,355.5
202504,사상근린공원,4,1133.0,398.9
202504,사상근린공원,5,1055.4,369.6
202504,사상근린공원,6,852.5,268.7
202504,사상근린공원,7,706.7,292.3
202504,사상근린공원,8,594.1,233.5
202504,사상근린공원,9,724.8,262.7
202504,사상근린공원,10,551.8,126.6
202504,사상인디스테이션,1,104772.0,19450.3
202504,사상인디스테이션,2,40887.2,12472.6
202504,사상인디스테이션,3,21977.7,6913.9
202504,사상인디스테이션,4,15320.3,5370.7
202504,사상인디스테이션,5,12071.8,4218.5
202504,사상인디스테이션,6,9746.9,3398.4
202504,사상인디스테이션,7,8333.6,3083.0
202504,사상인디스테이션,8,7584.8,2750.5
202504,사상인디스테이션,9,7008.6,2243.8
202504,사상인디스테이션,10,7276.8,2726.5
202504,사상평생학습관,1,4533.4,1336.9
202504,사상평생학습관,2,1673.8,508.5
202504,사상평생학습관,3,1059.9,372.5
202504,사상평생학습관,4,1110.0,429.7
202504,사상평생학습관,5,593.8,215.7
202504,사상평생학습관,6,903.8,466.9
202504,사상평생학습관,7,682.3,226.2
202504,사상평생학습관,8,1037.9,425.2
202504,사상평생학습관,9,663.0,295.0
202504,사상평생학습관,10,512.5,228.5
