STD_YM,O_gID,D_gID,purpose,modal,travel_time(sec),POP,no
202505,26230640,마라341838,2,0,3630,33.6,17
202505,26530591,마라341838,2,0,1830,46.2,17
202505,26230640,마라341838,2,1,3360,3.4,17
202505,26530591,마라341838,2,1,2170,7.7,17
202505,26530670,마라341838,2,1,590,3.9,17
202505,마라339838,마라341838,2,1,140,3.9,17
202505,26530591,마라341838,2,2,2060,15.4,17
202505,26230640,마라341838,2,9,2870,30.2,17
202505,26530591,마라341838,2,9,2800,7.7,17
202505,26320542,마라341838,4,0,2650,2.6,17
202505,26380601,마라341838,4,0,2070,3.7,17
202505,26440535,마라341838,4,0,3540,2.6,17
202505,26530660,마라341838,4,0,700,10.1,17
202505,48250340,마라341838,4,0,2190,3.4,17
202505,48250370,마라341838,4,0,1390,3.4,17
202505,마라347861,마라341838,4,0,690,3.4,17
202505,마라350852,마라341838,4,0,2570,11.4,17
202505,26230640,마라341838,4,1,2340,3.4,17
202505,26320542,마라341838,4,2,1310,2.6,17
202505,26350570,마라341838,4,2,5430,2.8,17
202505,48250590,마라341838,4,2,19410,3.6,17
202505,11650560,마라342836,1,0,18910,15.9,17
202505,11650580,마라342836,1,0,17770,2.7,17
202505,11650581,마라342836,1,0,19630,7.9,17
202505,11680750,마라342836,1,0,10820,5.5,17
202505,11710620,마라342836,1,0,13010,3.5,17
202505,26110510,마라342836,1,0,2860,111.5,17
202505,26110520,마라342836,1,0,1640,24.5,17
202505,26110530,마라342836,1,0,2440,50.8,17
202505,26110545,마라342836,1,0,2420,21.3,17
202505,26110560,마라342836,1,0,2530,47.4,17
202505,26110570,마라342836,1,0,2100,31.3,17
202505,26110580,마라342836,1,0,2840,279.7,17
202505,26110590,마라342836,1,0,2070,22.6,17
202505,26110600,마라342836,1,0,3200,9.6,17
202505,26140510,마라342836,1,0,1880,22.4,17
202505,26140520,마라342836,1,0,1060,2.9,17
202505,26140530,마라342836,1,0,1450,82.7,17
202505,26140540,마라342836,1,0,1290,44.9,17
202505,26140560,마라342836,1,0,3570,13.7,17
