STD_YM,O_gID,D_gID,purpose,modal,travel_time(sec),POP,no
202506,11110640,마라385856,1,0,15090,4.4,9
202506,11170530,마라385856,1,0,12520,4.0,9
202506,11290555,마라385856,1,0,18710,4.2,9
202506,11380650,마라385856,1,0,25070,2.6,9
202506,11410585,마라385856,1,0,19350,3.9,9
202506,11620595,마라385856,1,0,23050,4.3,9
202506,11710710,마라385856,1,0,14700,3.2,9
202506,26110510,마라385856,1,0,3110,130.2,9
202506,26110530,마라385856,1,0,2380,31.1,9
202506,26110545,마라385856,1,0,3420,3.8,9
202506,26110560,마라385856,1,0,3240,36.6,9
202506,26110570,마라385856,1,0,2880,28.6,9
202506,26110580,마라385856,1,0,2130,60.3,9
202506,26110590,마라385856,1,0,3840,11.8,9
202506,26110600,마라385856,1,0,1210,7.7,9
202506,26140510,마라385856,1,0,1460,11.3,9
202506,26140520,마라385856,1,0,1510,8.6,9
202506,26140530,마라385856,1,0,2560,42.2,9
202506,26140540,마라385856,1,0,2360,34.3,9
202506,26140570,마라385856,1,0,2460,20.5,9
202506,26140590,마라385856,1,0,3990,8.1,9
202506,26140615,마라385856,1,0,350,13.2,9
202506,26140640,마라385856,1,0,2830,12.2,9
202506,26140660,마라385856,1,0,2280,7.0,9
202506,26140680,마라385856,1,0,3280,59.0,9
202506,26170510,마라385856,1,0,4200,18.4,9
202506,26170520,마라385856,1,0,3120,39.2,9
202506,26170530,마라385856,1,0,2580,59.8,9
202506,26170560,마라385856,1,0,1360,8.1,9
202506,26170570,마라385856,1,0,1360,46.3,9
202506,26170590,마라385856,1,0,1540,4.0,9
202506,26170645,마라385856,1,0,920,17.5,9
202506,26170650,마라385856,1,0,1370,23.6,9
202506,26170660,마라385856,1,0,1860,93.7,9
202506,26170680,마라385856,1,0,1320,15.3,9
202506,26200530,마라385856,1,0,1760,44.8,9
202506,26200550,마라385856,1,0,2650,19.8,9
202506,26200590,마라385856,1,0,2390,50.4,9
202506,26200605,마라385856,1,0,800,8.8,9
202506,26200630,마라385856,1,0,3260,42.5,9
202506,26200640,마라385856,1,0,3900,39.1,9
202506,26200650,마라385856,1,0,3730,51.4,9
202506,26200660,마라385856,1,0,4380,64.1,9
202506,26200670,마라385856,1,0,4130,17.1,9
202506,26230510,마라385856,1,0,1230,392.6,9
202506,26230520,마라385856,1,0,1210,386.4,9
202506,26230540,마라385856,1,0,2670,60.4,9
202506,26230550,마라385856,1,0,1720,153.7,9
202506,26230560,마라385856,1,0,2120,151.2,9
202506,26230570,마라385856,1,0,1400,52.9,9
202506,26230600,마라385856,1,0,1040,86.8,9
202506,26230610,마라385856,1,0,1900,183.9,9
202506,26230640,마라385856,1,0,880,187.5,9
