STD_YM,gid,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202508,마라337842,1,0,0.0,42.49,16.18,23.2,26.8,24.13,40.17,24.28,48.67,56.68,23.72,38.02,40.37,68.06,80.38,139.58,86.49,14.31,2.79,17.64,24.26,18.83,9.9,5.18
202508,마라339838,1,0,23.96,80.5,61.44,61.42,36.56,133.54,177.08,183.92,134.73,132.57,127.01,203.5,177.66,231.78,238.42,228.9,294.09,429.26,436.81,333.92,406.01,279.54,196.01,81.08
202508,마라339839,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,10.68,10.68,0.0,10.68,32.04,3.56,9.41,30.77,9.07,0.0,1.95
202508,마라340842,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,3.5,3.5,0.0,0.0,0.0,7.0
202508,마라340846,1,0,2.67,11.61,16.72,20.14,23.63,65.34,51.27,76.87,106.95,61.09,33.39,81.67,64.13,47.25,95.5,83.81,117.37,108.54,142.1,84.94,81.67,81.07,36.21,8.67
202508,마라341844,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라341846,1,0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,13.08,6.6,0.0,3.3,0.0,3.3,3.3,0.0,4.36,0.0,3.3,0.0,0.0,0.0,0.0,0.0
202508,마라341850,1,0,0.0,2.91,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0
202508,마라342836,1,0,45.85,146.73,133.31,105.96,144.47,179.1,188.67,180.34,91.61,222.01,357.95,487.4,624.88,642.49,849.14,1116.74,1525.43,1909.04,2142.11,1469.66,1248.32,1139.96,920.16,204.54
202508,마라342856,1,0,9.32,76.34,56.06,48.9,28.08,17.47,68.8,85.98,61.98,85.36,132.48,131.71,103.49,121.46,213.21,255.6,368.58,417.76,469.7,474.69,420.9,285.06,254.19,78.93
202508,마라343849,1,0,11.8,77.74,7.71,27.28,51.35,38.13,58.7,160.94,35.78,36.74,77.69,71.09,52.62,65.48,80.59,105.27,72.15,49.86,73.53,74.7,125.0,57.16,20.81,26.01
202508,마라344849,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,3.27,0.0,6.54,3.27,6.54,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라344862,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0
202508,마라344867,1,0,8.05,46.35,27.75,18.71,20.81,40.61,18.74,22.9,23.2,40.26,44.4,43.51,61.01,39.37,46.41,37.93,145.07,155.19,183.99,236.13,169.2,163.54,102.75,40.1
202508,마라345851,1,0,23.12,97.62,55.18,31.62,46.63,58.06,55.4,90.1,108.77,42.67,155.28,123.0,192.36,138.1,162.4,224.41,422.14,364.82,566.08,381.06,174.22,188.17,165.14,59.48
202508,마라345859,1,0,0.0,0.0,0.0,3.4,18.95,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,6.8,0.0,0.0,4.07,0.0,3.65
202508,마라345862,1,0,0.0,8.28,10.4,7.46,7.14,18.56,14.24,19.59,17.8,11.79,18.28,17.82,22.18,13.09,0.0,2.56,14.15,30.24,33.06,16.55,19.25,21.5,8.28,3.22
202508,마라345863,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0
202508,마라345864,1,0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,5.48,15.38,19.0,47.18,5.8,10.41,2.23,0.0,4.35,0.0,21.15,9.53,0.0,8.32,2.82,3.22,0.0
202508,마라346853,1,0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,2.68,0.0,0.0,0.0,11.28,14.1,8.46,5.64,2.82,8.46,8.46,0.0,0.0,5.5,5.64,5.5,0.0
202508,마라346864,1,0,25.25,144.09,107.16,98.08,111.37,216.5,99.15,126.02,164.24,164.76,308.01,226.95,375.73,412.92,356.17,447.94,528.17,803.93,1190.03,868.83,857.34,712.27,597.05,156.56
202508,마라346866,1,0,3.73,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,11.29,0.0,3.83,11.21,3.73,7.66,11.21,40.87,7.38,7.48
202508,마라346870,1,0,72.84,254.31,165.96,143.08,117.95,196.26,169.05,278.0,231.2,373.18,685.25,1034.55,1045.69,870.72,1090.84,1738.34,2053.71,2645.71,3316.16,2613.85,2339.71,1771.41,1235.37,248.0
202508,마라347852,1,0,26.68,85.86,125.66,102.85,191.98,104.96,80.48,51.34,77.25,63.03,104.05,155.66,210.4,229.08,303.87,516.53,499.69,570.68,629.47,667.41,421.91,299.18,250.61,74.55
