STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202509,동매누리 작은도서관,1,4168.5,1498.0
202509,동매누리 작은도서관,2,1834.0,742.0
202509,동매누리 작은도서관,3,1638.0,738.5
202509,동매누리 작은도서관,4,1582.0,672.0
202509,동매누리 작은도서관,5,1120.0,518.0
202509,동매누리 작은도서관,6,1197.0,602.0
202509,동매누리 작은도서관,7,1421.0,791.0
202509,동매누리 작은도서관,8,1204.0,525.0
202509,동매누리 작은도서관,9,1386.0,612.5
202509,동매누리 작은도서관,10,1260.0,577.5
202509,동매누리행복센터,1,9663.5,3206.0
202509,동매누리행복센터,2,4515.0,1970.5
202509,동매누리행복센터,3,3748.5,1701.0
202509,동매누리행복센터,4,3094.0,1603.0
202509,동매누리행복센터,5,2747.5,1305.5
202509,동매누리행복센터,6,2121.0,1025.5
202509,동매누리행복센터,7,2156.0,973.0
202509,동매누리행복센터,8,2212.0,1092.0
202509,동매누리행복센터,9,2110.5,997.5
202509,동매누리행복센터,10,2135.0,1025.5
202509,동매산둘레길,1,5747.0,1893.5
202509,동매산둘레길,2,3171.0,1424.5
202509,동매산둘레길,3,2541.0,1141.0
202509,동매산둘레길,4,1918.0,801.5
202509,동매산둘레길,5,1697.5,791.0
202509,동매산둘레길,6,1722.0,777.0
202509,동매산둘레길,7,1372.0,794.5
202509,동매산둘레길,8,1904.0,1046.5
202509,동매산둘레길,9,1386.0,675.5
202509,동매산둘레길,10,1890.0,1008.0
202509,무지개작은도서관,1,15330.0,4956.0
202509,무지개작은도서관,2,5775.0,2464.0
202509,무지개작은도서관,3,3706.5,1729.0
202509,무지개작은도서관,4,2646.0,1253.0
202509,무지개작은도서관,5,2380.0,1326.5
202509,무지개작은도서관,6,1953.0,1057.0
202509,무지개작은도서관,7,2009.0,1008.0
202509,무지개작은도서관,8,1988.0,1109.5
202509,무지개작은도서관,9,1827.0,1071.0
202509,무지개작은도서관,10,1925.0,1162.0
202509,보림공원,1,15330.0,4956.0
202509,보림공원,2,5775.0,2464.0
202509,보림공원,3,3706.5,1729.0
202509,보림공원,4,2646.0,1253.0
202509,보림공원,5,2380.0,1326.5
