STD_YM,gid,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202510,마라378857,1,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.5,3.5,7.0,0.0,0.0,0.0,0.0
202510,마라380854,1,0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,3.5,35.0,14.0,0.0,14.0,10.5,3.5,3.5,0.0,10.5,10.5,3.5,7.0,10.5,7.0,0.0,0.0
202510,마라380862,1,0,14.0,45.5,52.5,21.0,31.5,24.5,10.5,28.0,21.0,24.5,28.0,63.0,70.0,164.5,147.0,241.5,280.0,357.0,371.0,507.5,322.0,308.0,273.0,63.0
202510,마라381853,1,0,0.0,0.0,3.5,0.0,0.0,3.5,0.0,7.0,0.0,3.5,7.0,0.0,3.5,7.0,10.5,7.0,21.0,17.5,14.0,3.5,24.5,7.0,3.5,10.5
202510,마라381854,1,0,70.0,255.5,192.5,175.0,154.0,122.5,203.0,185.5,185.5,185.5,353.5,507.5,682.5,749.0,763.0,1291.5,1841.0,2264.5,2716.0,2327.5,1505.0,1991.5,1459.5,423.5
202510,마라382852,1,0,59.5,241.5,252.0,171.5,119.0,161.0,136.5,171.5,161.0,189.0,325.5,549.5,672.0,539.0,721.0,1088.5,1424.5,2012.5,2660.0,2093.0,1865.5,1757.0,1295.0,371.0
202510,마라382855,1,0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.5,3.5,0.0,0.0,7.0,17.5,10.5,10.5,3.5,21.0,14.0,0.0
202510,마라382856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,0.0,7.0,3.5,7.0,3.5,7.0,3.5,0.0,7.0
202510,마라382857,1,0,38.5,157.5,105.0,129.5,84.0,87.5,105.0,112.0,112.0,154.0,168.0,339.5,514.5,413.0,591.5,675.5,1134.0,1484.0,1526.0,1389.5,1298.5,1389.5,997.5,287.0
202510,마라382858,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,3.5,0.0
202510,마라383853,1,0,31.5,140.0,115.5,140.0,105.0,199.5,126.0,91.0,94.5,98.0,213.5,269.5,406.0,444.5,427.0,707.0,1067.5,1326.5,1683.5,1302.0,1337.0,1204.0,924.0,301.0
202510,마라383854,1,0,38.5,129.5,84.0,73.5,38.5,52.5,49.0,63.0,52.5,136.5,87.5,126.0,164.5,273.0,252.0,371.0,434.0,675.5,609.0,598.5,658.0,567.0,350.0,157.5
202510,마라383855,1,0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,10.5,3.5,21.0,21.0,24.5,42.0,35.0,24.5,21.0,21.0,35.0,3.5
202510,마라383857,1,0,35.0,98.0,63.0,56.0,56.0,73.5,45.5,63.0,52.5,63.0,77.0,154.0,245.0,269.5,350.0,416.5,605.5,700.0,1239.0,962.5,822.5,759.5,588.0,140.0
202510,마라384855,1,0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,0.0,0.0,3.5,0.0,17.5,10.5,10.5,10.5,17.5,10.5,7.0,3.5
202510,마라385853,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,7.0,7.0,10.5,3.5,10.5,7.0,3.5,3.5,24.5,21.0,31.5,45.5,49.0,24.5,14.0,24.5,3.5
202510,마라385856,1,0,94.5,357.0,283.5,311.5,336.0,409.5,402.5,234.5,269.5,318.5,560.0,906.5,1291.5,1085.0,1162.0,1823.5,2348.5,3318.0,4221.0,3230.5,3045.0,2761.5,1953.0,556.5
202510,마라385857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,7.0,0.0,3.5,0.0,3.5,3.5,17.5,0.0,0.0,3.5,3.5,3.5
202510,마라385860,1,0,3.5,7.0,0.0,7.0,0.0,7.0,3.5,0.0,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,3.5,7.0,7.0,3.5,10.5,3.5,3.5,10.5
202510,마라386858,1,0,0.0,0.0,3.5,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.5,3.5,3.5,24.5,35.0,45.5,0.0,0.0,3.5,14.0,7.0
202510,마라386859,1,0,7.0,0.0,7.0,3.5,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,10.5,0.0,14.0,7.0,7.0,17.5,7.0,3.5,7.0,17.5,7.0
202510,마라386860,1,0,38.5,182.0,154.0,133.0,171.5,178.5,112.0,154.0,112.0,224.0,283.5,696.5,787.5,794.5,927.5,1260.0,2096.5,2408.0,2758.0,2163.0,1872.5,1624.0,1036.0,287.0
202510,마라386869,1,0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,7.0,0.0,7.0,0.0,3.5,3.5,3.5,14.0,7.0,21.0,21.0,17.5,3.5,10.5,0.0
202510,마라387853,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
202510,마라387856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.5,24.5,14.0,3.5,7.0,21.0,0.0
202510,마라387859,1,0,105.0,287.0,171.5,189.0,112.0,196.0,154.0,161.0,199.5,322.0,423.5,686.0,927.5,1022.0,1099.0,1459.5,2320.5,2537.5,2894.5,2467.5,2369.5,1816.5,1414.0,420.0
202510,마라387860,1,0,10.5,42.0,73.5,49.0,66.5,38.5,45.5,35.0,59.5,28.0,56.0,129.5,192.5,150.5,192.5,248.5,315.0,406.0,612.5,542.5,528.5,343.0,332.5,94.5
202510,마라387861,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,3.5,3.5,10.5,10.5,3.5,7.0,10.5,28.0,17.5,0.0
202510,마라387862,1,0,63.0,178.5,115.5,87.5,154.0,119.0,154.0,112.0,185.5,115.5,245.0,416.5,511.0,623.0,640.5,836.5,1155.0,1239.0,1368.5,1442.0,889.0,1053.5,794.5,206.5
202510,마라388856,1,0,168.0,532.0,308.0,315.0,171.5,231.0,231.0,290.5,315.0,388.5,535.5,637.0,1008.0,1071.0,1193.5,1487.5,2156.0,2723.0,3720.5,3027.5,2688.0,2369.5,1729.0,560.0
202510,마라388859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.0,42.0,10.5,14.0,14.0,3.5,10.5,14.0,3.5,0.0,3.5,0.0
202510,마라388868,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,21.0,0.0,0.0,10.5,7.0,7.0,0.0
202510,마라388869,1,0,3.5,3.5,7.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,7.0,28.0,42.0,7.0,7.0,31.5,35.0,24.5,21.0,17.5,14.0,10.5,3.5
202510,마라389854,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,35.0,28.0,17.5,21.0,7.0,10.5,10.5,3.5,0.0,10.5,0.0
202510,마라389860,1,0,0.0,14.0,17.5,3.5,10.5,7.0,14.0,3.5,10.5,52.5,17.5,10.5,7.0,14.0,24.5,52.5,24.5,52.5,115.5,73.5,73.5,66.5,38.5,10.5
202510,마라389863,1,0,3.5,7.0,10.5,49.0,178.5,353.5,168.0,115.5,101.5,101.5,84.0,241.5,203.0,203.0,259.0,395.5,591.5,962.5,1134.0,990.5,763.0,801.5,630.0,154.0
202510,마라389864,1,0,0.0,0.0,3.5,0.0,0.0,0.0,7.0,3.5,7.0,7.0,7.0,17.5,10.5,45.5,38.5,38.5,35.0,42.0,31.5,70.0,14.0,28.0,14.0,10.5
202510,마라389867,1,0,84.0,353.5,311.5,182.0,185.5,283.5,259.0,227.5,182.0,297.5,479.5,889.0,1158.5,1347.5,1652.0,2278.5,2894.5,3629.5,4259.5,4140.5,3650.5,2996.0,2114.0,504.0
202510,마라389873,1,0,66.5,210.0,189.0,171.5,185.5,161.0,182.0,175.0,206.5,238.0,392.0,889.0,1144.5,1197.0,1260.0,1865.5,2817.5,3601.5,4028.5,3601.5,2786.0,2684.5,1963.5,525.0
202510,마라390854,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,7.0,7.0,7.0,17.5,38.5,0.0,3.5,7.0,3.5,7.0,0.0
202510,마라390857,1,0,3.5,10.5,0.0,3.5,0.0,17.5,3.5,3.5,7.0,17.5,7.0,24.5,3.5,10.5,10.5,14.0,24.5,31.5,42.0,73.5,91.0,80.5,49.0,10.5
202510,마라390858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202510,마라390859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,21.0,17.5,7.0,7.0,0.0
202510,마라390860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,7.0,3.5
202510,마라390864,1,0,73.5,332.5,234.5,157.5,105.0,77.0,105.0,84.0,122.5,157.5,266.0,441.0,346.5,462.0,766.5,917.0,1200.5,1582.0,1907.5,1452.5,1312.5,1218.0,808.5,217.0
202510,마라390871,1,0,56.0,290.5,269.5,182.0,224.0,294.0,252.0,220.5,178.5,294.0,504.0,938.0,1288.0,1512.0,1589.0,2194.5,2534.0,3559.5,4077.5,3472.0,3150.0,2915.5,2317.0,556.5
202510,마라390874,1,0,0.0,3.5,3.5,7.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,14.0,3.5,7.0,10.5,10.5,14.0,7.0,10.5,21.0,17.5,24.5,14.0,0.0
202510,마라391859,1,0,150.5,546.0,427.0,241.5,273.0,231.0,329.0,238.0,290.5,360.5,514.5,801.5,1085.0,1274.0,1421.0,2054.5,2649.5,3454.5,3626.0,3591.0,3003.0,2929.5,2110.5,654.5
202510,마라391861,1,0,56.0,136.5,91.0,66.5,70.0,80.5,87.5,147.0,101.5,150.5,241.5,507.5,668.5,654.5,759.5,1004.5,1274.0,1694.0,1844.5,1543.5,1312.5,1127.0,777.0,241.5
202510,마라391864,1,0,28.0,182.0,133.0,119.0,87.5,112.0,206.5,143.5,147.0,217.0,304.5,472.5,798.0,791.0,987.0,1200.5,1606.5,2180.5,2047.5,2180.5,1725.5,1452.5,962.5,182.0
202510,마라391867,1,0,0.0,3.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,10.5,3.5,21.0,14.0,24.5,21.0,38.5,3.5,21.0,0.0,0.0
202510,마라391869,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,10.5,28.0,17.5,35.0,70.0,45.5,63.0,94.5,126.0,80.5,115.5,59.5,49.0,0.0
202510,마라391872,1,0,59.5,318.5,224.0,164.5,136.5,133.0,231.0,234.5,248.5,199.5,420.0,647.5,1011.5,1043.0,1221.5,1634.5,2198.0,2775.5,3279.5,3293.5,2751.0,2285.5,1925.0,619.5
