STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202510,동매누리 작은도서관,0,13261.5,2380.0
202510,동매누리 작은도서관,1,11536.0,3416.0
202510,동매누리 작은도서관,2,7427.0,1137.5
202510,동매누리 작은도서관,3,12243.0,10605.0
202510,동매누리 작은도서관,4,122.5,7.0
202510,동매누리 작은도서관,9,3696.0,1487.5
202510,동매누리행복센터,0,22844.5,4466.0
202510,동매누리행복센터,1,19523.0,6380.5
202510,동매누리행복센터,2,12551.0,2086.0
202510,동매누리행복센터,3,21472.5,18851.0
202510,동매누리행복센터,4,220.5,14.0
202510,동매누리행복센터,9,7028.0,2982.0
202510,동매산둘레길,0,37506.0,8354.5
202510,동매산둘레길,1,21703.5,8246.0
202510,동매산둘레길,2,8701.0,1729.0
202510,동매산둘레길,3,22029.0,17038.0
202510,동매산둘레길,4,273.0,24.5
202510,동매산둘레길,9,10398.5,4777.5
202510,무지개작은도서관,0,32578.0,6923.0
202510,무지개작은도서관,1,19015.5,7731.5
202510,무지개작은도서관,2,5491.5,1302.0
202510,무지개작은도서관,3,16457.0,15284.5
202510,무지개작은도서관,4,192.5,59.5
202510,무지개작은도서관,9,7077.0,3563.0
202510,보림공원,0,32578.0,6923.0
202510,보림공원,1,19015.5,7731.5
202510,보림공원,2,5491.5,1302.0
202510,보림공원,3,16457.0,15284.5
202510,보림공원,4,192.5,59.5
202510,보림공원,9,7077.0,3563.0
202510,사하구청 제2청사,0,29883.0,5568.5
202510,사하구청 제2청사,1,9775.5,2737.0
202510,사하구청 제2청사,2,13398.0,2432.5
202510,사하구청 제2청사,3,11420.5,7581.0
202510,사하구청 제2청사,4,182.0,10.5
202510,사하구청 제2청사,9,8904.0,3321.5
202510,수풀작은도서관,0,43379.0,8673.0
202510,수풀작은도서관,1,32158.0,11035.5
202510,수풀작은도서관,2,19152.0,4564.0
202510,수풀작은도서관,3,25903.5,22291.5
202510,수풀작은도서관,4,325.5,45.5
202510,수풀작은도서관,9,10605.0,4508.0
202510,신남초등학교,0,24055.5,5138.0
202510,신남초등학교,1,10346.0,2698.5
202510,신남초등학교,2,5757.5,1162.0
202510,신남초등학교,3,11042.5,8176.0
202510,신남초등학교,4,105.0,10.5
202510,신남초등학교,9,6058.5,2635.5
202510,신평골목시장,0,14584.5,2828.0
202510,신평골목시장,1,12176.5,3682.0
202510,신평골목시장,2,8263.5,1323.0
202510,신평골목시장,3,14238.0,12439.0
202510,신평골목시장,4,140.0,14.0
202510,신평골목시장,9,4249.0,1739.5
202510,장림 롯데마트,0,5572.0,892.5
202510,장림 롯데마트,1,2478.0,777.0
202510,장림 롯데마트,2,700.0,115.5
202510,장림 롯데마트,3,1613.5,1379.0
202510,장림 롯데마트,4,7.0,0.0
202510,장림 롯데마트,9,1417.5,605.5
202510,장림1동행정복지센터,0,32578.0,6923.0
202510,장림1동행정복지센터,1,19015.5,7731.5
202510,장림1동행정복지센터,2,5491.5,1302.0
202510,장림1동행정복지센터,3,16457.0,15284.5
202510,장림1동행정복지센터,4,192.5,59.5
202510,장림1동행정복지센터,9,7077.0,3563.0
202510,장림2동 행정복지센터,0,12253.5,2502.5
202510,장림2동 행정복지센터,1,6531.0,2296.0
202510,장림2동 행정복지센터,2,2936.5,577.5
202510,장림2동 행정복지센터,3,8375.5,7479.5
202510,장림2동 행정복지센터,4,101.5,28.0
202510,장림2동 행정복지센터,9,3398.5,1638.0
202510,장림공원,0,32049.5,6443.5
202510,장림공원,1,22256.5,7840.0
202510,장림공원,2,5071.5,1046.5
202510,장림공원,3,16355.5,15057.0
202510,장림공원,4,122.5,17.5
202510,장림공원,9,6720.0,2915.5
202510,장림생태공원,0,53168.5,7934.5
202510,장림생태공원,1,18543.0,7161.0
202510,장림생태공원,2,4984.0,525.0
202510,장림생태공원,3,6366.5,5673.5
202510,장림생태공원,4,196.0,0.0
202510,장림생태공원,9,7332.5,3129.0
202510,하하센터,0,56952.0,10038.0
202510,하하센터,1,17979.5,5407.5
202510,하하센터,2,22361.5,3902.5
202510,하하센터,3,18973.5,12631.5
202510,하하센터,4,560.0,17.5
202510,하하센터,9,14714.0,5271.0
202510,효림초등학교,0,3388.0,1582.0
202510,효림초등학교,1,2933.0,1897.0
202510,효림초등학교,2,1130.5,833.0
202510,효림초등학교,3,2982.0,2733.5
202510,효림초등학교,4,24.5,14.0
202510,효림초등학교,9,1211.0,840.0
