STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202511,2728495,0,1,230450.5,8.4
202511,2728495,0,2,272639.5,10.0
202511,2728495,0,4,600155.5,22.0
202511,2728495,1,1,96803.0,3.5
202511,2728495,1,2,127554.0,4.7
202511,2728495,1,4,234300.5,8.6
202511,2728495,2,1,115549.0,4.2
202511,2728495,2,2,135831.5,5.0
202511,2728495,2,4,262398.5,9.6
202511,2728495,3,1,160590.5,5.9
202511,2728495,3,2,61659.5,2.3
202511,2728495,3,4,203434.0,7.5
202511,2728495,4,1,2999.5,0.1
202511,2728495,4,2,941.5,0.0
202511,2728495,4,4,8305.5,0.3
202511,2728495,9,1,51054.5,1.9
202511,2728495,9,2,62758.5,2.3
202511,2728495,9,4,101069.5,3.7
