STD_YM,gID,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202511,마라323767,1,0,0.0,21.0,35.0,24.5,21.0,35.0,73.5,161.0,56.0,31.5,35.0,31.5,31.5,56.0,52.5,56.0,35.0,10.5,45.5,28.0,31.5,17.5,7.0,7.0
202511,마라323772,1,0,0.0,21.0,21.0,10.5,10.5,94.5,24.5,3.5,14.0,21.0,14.0,21.0,3.5,24.5,17.5,49.0,35.0,28.0,28.0,17.5,31.5,35.0,7.0,3.5
202511,마라326768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
202511,마라327786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,마라327789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
202511,마라327791,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,3.5,7.0,0.0,3.5,3.5,3.5,0.0,7.0,17.5,49.0,28.0,45.5,14.0,17.5,3.5,3.5
202511,마라328769,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,0.0,3.5,7.0,7.0,14.0,0.0,0.0,0.0,0.0
202511,마라328790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,3.5,7.0,14.0,3.5,14.0,14.0,42.0,3.5,84.0,42.0,42.0,14.0,10.5
202511,마라329766,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,마라329771,1,0,24.5,31.5,3.5,28.0,66.5,59.5,94.5,84.0,133.0,122.5,150.5,241.5,210.0,213.5,234.5,399.0,364.0,339.5,290.5,154.0,280.0,171.5,119.0,42.0
202511,마라329791,1,0,122.5,553.0,332.5,252.0,189.0,157.5,329.0,234.5,378.0,332.5,693.0,1057.0,1512.0,1592.5,2002.0,2712.5,3727.5,5022.5,5754.0,4574.5,3927.0,3475.5,2544.5,689.5
202511,마라330783,1,0,140.0,469.0,364.0,290.5,224.0,206.5,444.5,367.5,378.0,392.0,521.5,948.5,1417.5,1452.5,1631.0,2597.0,3654.0,4970.0,5589.5,4287.5,4165.0,3314.5,2341.5,623.0
202511,마라330786,1,0,0.0,3.5,7.0,3.5,3.5,24.5,28.0,28.0,0.0,7.0,7.0,24.5,28.0,42.0,31.5,24.5,115.5,63.0,28.0,24.5,7.0,14.0,10.5,7.0
202511,마라330788,1,0,28.0,136.5,77.0,56.0,56.0,98.0,98.0,56.0,87.5,136.5,210.0,322.0,374.5,430.5,409.5,616.0,1137.5,1337.0,1386.0,1337.0,1106.0,987.0,724.5,182.0
202511,마라330790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,10.5,0.0,10.5,7.0,17.5,3.5
202511,마라330791,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,3.5,0.0,0.0,0.0,0.0
202511,마라331768,1,0,10.5,70.0,17.5,24.5,63.0,98.0,182.0,189.0,63.0,66.5,87.5,168.0,147.0,171.5,192.5,343.0,455.0,378.0,679.0,427.0,444.5,395.5,199.5,63.0
202511,마라331777,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,45.5,10.5,0.0,0.0,0.0,0.0,0.0
202511,마라331786,1,0,45.5,108.5,66.5,108.5,66.5,98.0,91.0,126.0,87.5,77.0,87.5,150.5,203.0,248.5,297.5,399.0,549.5,875.0,1197.0,931.0,836.5,651.0,549.5,161.0
202511,마라332763,1,0,21.0,94.5,154.0,35.0,192.5,21.0,63.0,42.0,17.5,24.5,14.0,38.5,28.0,24.5,42.0,49.0,38.5,52.5,112.0,112.0,80.5,45.5,38.5,28.0
202511,마라332772,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,3.5,10.5,7.0
202511,마라332784,1,0,10.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
202511,마라332786,1,0,0.0,0.0,7.0,21.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,10.5,3.5,0.0,3.5,7.0,3.5,3.5,45.5,28.0,3.5,17.5,0.0,0.0
202511,마라332790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
202511,마라333786,1,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,17.5,42.0,14.0,10.5,3.5,14.0,10.5
202511,마라333789,1,0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,3.5,10.5,17.5,42.0,14.0,0.0,10.5,17.5,0.0
202511,마라333790,1,0,38.5,245.0,136.5,84.0,56.0,91.0,140.0,140.0,182.0,196.0,294.0,675.5,665.0,812.0,763.0,1235.5,1904.0,2348.5,3353.0,2268.0,2191.0,1865.5,1291.5,322.0
202511,마라334766,1,0,7.0,84.0,35.0,7.0,3.5,21.0,17.5,31.5,49.0,28.0,42.0,105.0,133.0,147.0,161.0,224.0,332.5,661.5,630.0,553.0,721.0,483.0,336.0,73.5
202511,마라334767,1,0,0.0,0.0,0.0,3.5,0.0,0.0,7.0,10.5,3.5,0.0,3.5,17.5,17.5,24.5,45.5,73.5,70.0,80.5,129.5,133.0,52.5,49.0,35.0,10.5
202511,마라334768,1,0,80.5,322.0,224.0,129.5,150.5,129.5,164.5,182.0,84.0,231.0,472.5,675.5,805.0,906.5,1158.5,1886.5,2313.5,2940.0,3006.5,2397.5,2383.5,2159.5,1431.5,392.0
202511,마라334782,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
202511,마라334786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.0,7.0,0.0,7.0,21.0,24.5,24.5,38.5,42.0,21.0,35.0,28.0,7.0
202511,마라334787,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,3.5,7.0,24.5,17.5,17.5,21.0,10.5,45.5,66.5,45.5,21.0,3.5,0.0,7.0
202511,마라334788,1,0,143.5,325.5,262.5,140.0,168.0,143.5,220.5,192.5,213.5,287.0,465.5,717.5,1029.0,1221.5,1358.0,2205.0,2870.0,3636.5,4270.0,3769.5,3090.5,2782.5,1806.0,437.5
202511,마라334789,1,0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.0,7.0,10.5,17.5,14.0,7.0,14.0,24.5,28.0,14.0,17.5,17.5,10.5,3.5
202511,마라335767,1,0,56.0,150.5,192.5,143.5,115.5,150.5,206.5,129.5,178.5,206.5,318.5,504.0,791.0,794.5,1008.0,1442.0,1865.5,2992.5,3188.5,2621.5,2576.0,2009.0,1092.0,224.0
202511,마라335770,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,3.5,3.5,3.5,17.5,7.0
202511,마라335772,1,0,14.0,150.5,108.5,56.0,56.0,80.5,94.5,38.5,56.0,91.0,136.5,164.5,178.5,234.5,294.0,437.5,581.0,630.0,637.0,483.0,434.0,434.0,329.0,73.5
202511,마라335774,1,0,0.0,0.0,3.5,0.0,0.0,7.0,0.0,0.0,3.5,3.5,10.5,14.0,0.0,3.5,21.0,14.0,3.5,14.0,17.5,21.0,10.5,14.0,7.0,3.5
202511,마라335776,1,0,21.0,14.0,17.5,17.5,31.5,28.0,77.0,14.0,24.5,70.0,45.5,59.5,52.5,31.5,49.0,94.5,98.0,59.5,45.5,10.5,14.0,42.0,14.0,7.0
202511,마라335777,1,0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,17.5,10.5,0.0
202511,마라335782,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0
202511,마라335786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.5,17.5,14.0,17.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0
202511,마라335790,1,0,63.0,276.5,192.5,143.5,91.0,98.0,168.0,150.5,164.5,227.5,563.5,780.5,1463.0,1253.0,1652.0,2023.0,3146.5,4389.0,4924.5,3468.5,3220.0,2621.5,1645.0,602.0
202511,마라336767,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,3.5,7.0,10.5,42.0,24.5,3.5,17.5,10.5,3.5,3.5
202511,마라336771,1,0,21.0,87.5,45.5,35.0,35.0,38.5,24.5,28.0,49.0,80.5,105.0,325.5,273.0,203.0,252.0,350.0,546.0,675.5,696.5,514.5,490.0,294.0,206.5,49.0
202511,마라336773,1,0,10.5,38.5,31.5,28.0,35.0,80.5,87.5,59.5,52.5,105.0,112.0,136.5,122.5,161.0,185.5,304.5,364.0,409.5,420.0,357.0,357.0,346.5,283.5,63.0
202511,마라336777,1,0,3.5,28.0,10.5,17.5,7.0,21.0,3.5,14.0,21.0,14.0,17.5,17.5,17.5,10.5,31.5,42.0,70.0,77.0,101.5,42.0,101.5,105.0,98.0,31.5
202511,마라336783,1,0,7.0,49.0,31.5,38.5,31.5,42.0,24.5,136.5,56.0,35.0,49.0,38.5,87.5,77.0,84.0,182.0,192.5,217.0,371.0,266.0,297.5,238.0,140.0,35.0
202511,마라336784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,52.5,3.5,0.0,28.0,7.0,3.5
202511,마라336785,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.0,3.5,10.5,14.0,21.0,17.5,3.5,0.0,7.0,14.0,21.0,0.0
202511,마라336790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,3.5,10.5,28.0,31.5,63.0,45.5,59.5,94.5,84.0,84.0,73.5,70.0,21.0,17.5
202511,마라337768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,3.5,14.0,7.0,3.5,7.0,17.5,17.5,0.0,17.5,0.0,0.0,0.0
202511,마라337770,1,0,56.0,269.5,203.0,157.5,171.5,133.0,161.0,129.5,143.5,283.5,395.5,511.0,612.5,724.5,745.5,1127.0,1466.5,1809.5,1781.5,1666.0,1410.5,1148.0,934.5,269.5
202511,마라337784,1,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,3.5,10.5,14.0,14.0,10.5,45.5,28.0,35.0,73.5,73.5,63.0,49.0,38.5,56.0,0.0
202511,마라337785,1,0,0.0,3.5,3.5,7.0,0.0,0.0,0.0,0.0,3.5,7.0,10.5,35.0,38.5,45.5,38.5,42.0,101.5,119.0,112.0,122.5,171.5,154.0,98.0,10.5
202511,마라338771,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,3.5,0.0,3.5,14.0,7.0,3.5,7.0,3.5,7.0,0.0,3.5,7.0,7.0,17.5,17.5,3.5
202511,마라338772,1,0,0.0,0.0,3.5,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,3.5,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
202511,마라338773,1,0,31.5,105.0,77.0,66.5,70.0,80.5,77.0,98.0,101.5,126.0,220.5,329.0,497.0,381.5,574.0,679.0,959.0,1232.0,1781.5,1417.5,1228.5,990.5,658.0,196.0
202511,마라338783,1,0,10.5,17.5,10.5,3.5,14.0,31.5,21.0,10.5,10.5,7.0,24.5,21.0,66.5,17.5,31.5,42.0,66.5,91.0,98.0,87.5,66.5,94.5,49.0,21.0
202511,마라338784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,56.0,7.0,3.5,0.0
202511,마라338785,1,0,21.0,84.0,38.5,59.5,80.5,63.0,80.5,87.5,94.5,91.0,171.5,203.0,269.5,311.5,486.5,651.0,1137.5,1470.0,1610.0,1386.0,1137.5,721.0,556.5,175.0
202511,마라339770,1,0,17.5,80.5,45.5,52.5,63.0,45.5,38.5,63.0,63.0,80.5,143.5,171.5,171.5,168.0,287.0,311.5,427.0,518.0,738.5,525.0,542.5,336.0,339.5,70.0
202511,마라339773,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
202511,마라339774,1,0,28.0,154.0,105.0,59.5,49.0,70.0,66.5,136.5,73.5,108.5,175.0,273.0,367.5,399.0,444.5,763.0,1144.5,1449.0,1816.5,1421.0,1074.5,959.0,847.0,220.5
202511,마라339775,1,0,28.0,59.5,49.0,63.0,45.5,63.0,98.0,59.5,105.0,45.5,108.5,101.5,133.0,168.0,161.0,206.5,455.0,427.0,794.5,672.0,479.5,490.0,339.5,115.5
202511,마라339785,1,0,0.0,3.5,0.0,3.5,3.5,0.0,10.5,3.5,0.0,14.0,31.5,21.0,3.5,7.0,14.0,70.0,31.5,49.0,3.5,31.5,14.0,14.0,17.5,0.0
202511,마라340769,1,0,14.0,14.0,45.5,14.0,21.0,38.5,21.0,17.5,10.5,21.0,42.0,52.5,59.5,59.5,126.0,87.5,157.5,248.5,171.5,255.5,87.5,87.5,52.5,10.5
202511,마라340771,1,0,59.5,192.5,206.5,196.0,164.5,245.0,175.0,115.5,87.5,133.0,252.0,416.5,469.0,584.5,766.5,952.0,1207.5,1291.5,1529.5,1505.0,1323.0,1312.5,889.0,262.5
202511,마라340774,1,0,0.0,7.0,17.5,0.0,7.0,0.0,3.5,0.0,0.0,3.5,3.5,24.5,14.0,35.0,52.5,14.0,115.5,112.0,157.5,105.0,98.0,59.5,80.5,10.5
202511,마라340784,1,0,94.5,276.5,185.5,213.5,168.0,150.5,276.5,157.5,203.0,213.5,556.5,686.0,847.0,997.5,1050.0,1540.0,2054.5,2579.5,3262.0,2282.0,2415.0,1897.0,1333.5,332.5
202511,마라340787,1,0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,38.5,3.5,35.0,52.5,42.0,73.5,105.0,24.5,28.0,31.5,49.0,10.5
202511,마라341760,1,0,0.0,14.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,7.0,0.0,3.5,3.5,7.0,0.0,45.5,63.0,24.5,14.0,10.5,10.5,3.5
202511,마라341766,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,10.5,7.0,10.5,31.5,10.5,0.0,7.0,17.5,0.0
202511,마라341767,1,0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,7.0,3.5,3.5,3.5,7.0,0.0,0.0,0.0,17.5,38.5,0.0,3.5,3.5,0.0,0.0
202511,마라341769,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,24.5,0.0,3.5,0.0,0.0
202511,마라341774,1,0,73.5,147.0,112.0,77.0,49.0,84.0,87.5,70.0,98.0,119.0,164.5,287.0,427.0,385.0,448.0,675.5,1225.0,1459.5,1809.5,1750.0,1354.5,1242.5,920.5,252.0
