STD_YM,O_gID,D_gID,purpose,modal,travel_time(sec),POP,no
202511,26110510,마라329771,1,0,2270,3.5,5
202511,26110560,마라329771,1,0,70,3.5,5
202511,26110580,마라329771,1,0,7320,10.5,5
202511,26140530,마라329771,1,0,1430,3.5,5
202511,26140570,마라329771,1,0,880,3.5,5
202511,26140640,마라329771,1,0,4310,3.5,5
202511,26140660,마라329771,1,0,610,3.5,5
202511,26140680,마라329771,1,0,1280,17.5,5
202511,26170520,마라329771,1,0,1800,3.5,5
202511,26170530,마라329771,1,0,1610,3.5,5
202511,26170660,마라329771,1,0,8560,7.0,5
202511,26170680,마라329771,1,0,3910,3.5,5
202511,26200550,마라329771,1,0,3970,3.5,5
202511,26200590,마라329771,1,0,1200,3.5,5
202511,26200605,마라329771,1,0,940,3.5,5
202511,26200630,마라329771,1,0,2050,7.0,5
202511,26200640,마라329771,1,0,3240,3.5,5
202511,26200650,마라329771,1,0,7220,3.5,5
202511,26200660,마라329771,1,0,1720,3.5,5
202511,26230510,마라329771,1,0,3500,7.0,5
202511,26230550,마라329771,1,0,4410,35.0,5
202511,26230560,마라329771,1,0,2070,3.5,5
202511,26230570,마라329771,1,0,3520,35.0,5
202511,26230610,마라329771,1,0,4820,7.0,5
202511,26230640,마라329771,1,0,2270,7.0,5
202511,26230710,마라329771,1,0,3860,7.0,5
202511,26230750,마라329771,1,0,1630,3.5,5
202511,26230770,마라329771,1,0,4520,3.5,5
202511,26260550,마라329771,1,0,3820,3.5,5
202511,26260750,마라329771,1,0,3460,10.5,5
202511,26290560,마라329771,1,0,25500,3.5,5
202511,26290600,마라329771,1,0,5160,3.5,5
202511,26290610,마라329771,1,0,5590,17.5,5
202511,26290620,마라329771,1,0,1460,28.0,5
202511,26290630,마라329771,1,0,21500,3.5,5
202511,26290645,마라329771,1,0,4220,21.0,5
202511,26290700,마라329771,1,0,2060,7.0,5
202511,26290710,마라329771,1,0,2260,3.5,5
202511,26320520,마라329771,1,0,2770,3.5,5
202511,26320560,마라329771,1,0,3940,3.5,5
202511,26350520,마라329771,1,0,2920,3.5,5
202511,26350530,마라329771,1,0,6130,3.5,5
202511,26350540,마라329771,1,0,3770,3.5,5
202511,26350660,마라329771,1,0,2160,3.5,5
202511,26380510,마라329771,1,0,2690,3.5,5
202511,26380530,마라329771,1,0,1260,3.5,5
202511,26380540,마라329771,1,0,910,3.5,5
202511,26380550,마라329771,1,0,770,31.5,5
202511,26380561,마라329771,1,0,1710,31.5,5
202511,26380562,마라329771,1,0,1690,31.5,5
202511,26380601,마라329771,1,0,4010,59.5,5
202511,26380602,마라329771,1,0,1660,21.0,5
202511,26380610,마라329771,1,0,3650,52.5,5
202511,26380620,마라329771,1,0,2190,73.5,5
202511,26380630,마라329771,1,0,1090,3.5,5
202511,26410555,마라329771,1,0,2790,3.5,5
202511,26410635,마라329771,1,0,9920,3.5,5
202511,26410670,마라329771,1,0,3360,28.0,5
202511,26410700,마라329771,1,0,2330,3.5,5
202511,26440510,마라329771,1,0,4410,42.0,5
202511,26440520,마라329771,1,0,2420,28.0,5
202511,26440530,마라329771,1,0,3070,420.0,5
202511,26440535,마라329771,1,0,2920,133.0,5
202511,26440545,마라329771,1,0,1010,17.5,5
202511,26440550,마라329771,1,0,1550,3.5,5
202511,26440560,마라329771,1,0,2840,206.5,5
202511,26440580,마라329771,1,0,2720,28.0,5
202511,26440590,마라329771,1,0,1990,14.0,5
