STD_YM,gID,dup_fac_cnt,fac_name_1,fac_func_1,fac_name_2,fac_func_2,fac_name_3,fac_func_3,fac_name_4,fac_func_4,fac_name_5,fac_func_5,fac_name_6,fac_func_6,fac_name_7,fac_func_7,fac_name_8,fac_func_8,fac_name_9,fac_func_9,fac_name_10,fac_func_10,fac_name_11,fac_func_11,fac_name_12,fac_func_12,fac_name_13,fac_func_13,fac_name_14,fac_func_14,fac_name_15,fac_func_15,fac_name_16,fac_func_16,fac_name_17,fac_func_17,dup_fac_pop
202511,마라322769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322770,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322772,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라322776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323767,5,하하센터,여가,수풀작은도서관,교육,동매산둘레길,여가,장림1동행정복지센터,주거의료,무지개작은도서관,교육,장림공원,여가,보림공원,여가,장림2동 행정복지센터,주거여가,장림생태공원,여가,감전시장,상업,동매누리행복센터,주거의료,개금테마공원,여가,동매누리 작은도서관,교육,신평골목시장,상업,사상인디스테이션,여가,애플 아울렛 서부시외버스터미널,상업,신남초등학교,여가,1883.0
202511,마라323768,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323770,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323771,5,동매누리 작은도서관,교육,신평골목시장,상업,하하센터,여가,수풀작은도서관,교육,장림생태공원,여가,장림공원,여가,부산진구 생활문화센터,교육여가,감전시장,상업,동매산둘레길,여가,장림2동 행정복지센터,주거여가,효림초등학교,여가,신남초등학교,여가,장림1동행정복지센터,주거의료,무지개작은도서관,교육,보림공원,여가,동매누리행복센터,주거의료,,,311.5
202511,마라323772,5,장림공원,여가,장림1동행정복지센터,주거의료,무지개작은도서관,교육,보림공원,여가,장림생태공원,여가,장림2동 행정복지센터,주거여가,애플 아울렛 서부시외버스터미널,상업,르네시떼,상업,이마트 사상점,상업,삼성테스코홈플러스서부산점,상업,사상인디스테이션,여가,하하센터,여가,수풀작은도서관,교육,사하구청 제2청사,주거의료교육,동매누리 작은도서관,교육,신평골목시장,상업,신남초등학교,여가,2243.5
202511,마라323773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202511,마라323774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
