STD_YM,gID,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202512,마라378857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0
202512,마라379856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0
202512,마라380854,1,0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,4.5,24.75,9.0,6.55,0.0,11.06,4.34,8.88,4.41,27.41,38.69,9.16,9.24,11.45,4.55,6.84,4.61
202512,마라380862,1,0,26.13,50.36,33.73,36.97,32.0,33.22,33.53,43.37,27.75,25.75,50.48,97.83,131.08,270.47,183.29,318.16,353.56,419.54,496.13,610.84,424.83,399.03,297.0,68.05
202512,마라381853,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,9.29,0.0,0.0,3.5,0.0,5.94,10.65,4.97,30.37,11.43,21.14,42.18,25.38,19.18,24.25,24.59,5.97
202512,마라381854,1,0,60.85,211.17,144.18,127.97,159.16,169.3,138.45,140.57,165.24,127.29,238.98,385.6,603.91,670.68,776.51,1186.06,1388.02,2021.4,2204.97,2140.86,1512.74,1822.22,1414.81,357.81
202512,마라382852,1,0,96.87,294.77,195.97,171.56,119.42,186.08,144.99,102.58,160.77,251.86,366.77,628.26,568.57,644.32,888.05,1302.23,2088.4,2427.35,3348.97,2660.12,2224.94,2281.22,1541.39,422.13
202512,마라382855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,3.47,3.47,0.0,6.94,13.88,21.6,11.51,6.94,19.0,32.56,14.43,8.04
202512,마라382856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.99,0.0,7.98,3.99,20.46,12.48,0.0,0.0,11.97,7.98,0.0
202512,마라382857,1,0,50.07,171.15,122.46,132.37,102.43,104.49,119.95,100.52,178.37,96.99,210.6,385.72,656.28,584.34,609.48,890.17,1341.96,1644.34,1767.35,1584.46,1623.76,1622.03,1128.76,307.01
