STD_YM,gID,기능_여가,기능_의료,기능_교육,기능_상업,기능_주거,기능_합
202512,마라385872,0,0,0,0,0,0
202512,마라396870,1,1,1,1,1,5
202512,마라387880,0,0,0,0,0,0
202512,마라375875,0,0,0,0,0,0
202512,마라389867,1,1,1,1,1,5
202512,마라390859,1,1,1,1,1,5
202512,마라401878,0,0,0,0,0,0
202512,마라383874,0,0,0,0,0,0
202512,마라400868,1,1,1,1,1,5
202512,마라387876,0,0,0,0,0,0
202512,마라388872,1,1,1,1,1,5
202512,마라398863,1,1,1,1,1,5
202512,마라386874,1,0,1,0,0,2
202512,마라383857,1,1,1,1,1,5
202512,마라393872,1,0,1,1,1,4
202512,마라395866,1,1,1,1,1,5
202512,마라384860,1,0,1,1,0,3
202512,마라401860,0,0,0,0,0,0
202512,마라396858,0,0,0,0,0,0
202512,마라382859,1,1,0,0,1,3
202512,마라397881,0,0,0,0,1,1
202512,마라393878,1,1,1,1,1,5
202512,마라380867,0,0,0,0,0,0
202512,마라381853,1,1,1,1,1,5
202512,마라387854,1,1,1,1,1,5
202512,마라397879,0,0,0,0,0,0
202512,마라412860,1,1,1,1,1,5
202512,마라398864,1,1,1,1,1,5
202512,마라404866,1,1,1,1,1,5
202512,마라378868,0,0,0,0,0,0
202512,마라388880,0,0,0,0,0,0
202512,마라396865,1,1,1,1,1,5
202512,마라396877,1,1,1,1,1,5
202512,마라388864,1,1,1,1,1,5
202512,마라401872,1,1,1,1,1,5
202512,마라391872,1,1,1,1,1,5
202512,마라402872,1,1,1,1,1,5
202512,마라399860,1,1,1,1,1,5
202512,마라391854,1,1,1,1,1,5
202512,마라384870,0,0,0,0,0,0
202512,마라386883,0,0,0,0,0,0
202512,마라396881,0,0,0,0,1,1
202512,마라405862,1,1,1,1,1,5
202512,마라383863,1,1,0,1,1,4
202512,마라385859,1,1,1,1,1,5
202512,마라400867,1,1,1,1,1,5
202512,마라402855,1,1,1,1,1,5
202512,마라407856,1,1,1,1,1,5
202512,마라397883,0,0,0,0,0,0
202512,마라392875,1,1,1,1,1,5
202512,마라395859,1,1,1,1,1,5
202512,마라399869,1,1,1,1,1,5
202512,마라398867,1,1,1,1,1,5
202512,마라399865,1,1,1,1,1,5
202512,마라387855,1,1,1,1,1,5
202512,마라399872,1,1,1,1,1,5
202512,마라382854,1,1,1,1,1,5
202512,마라393875,1,1,1,1,1,5
202512,마라378862,0,0,0,0,0,0
202512,마라384878,0,0,0,0,0,0
202512,마라411859,1,1,1,1,1,5
202512,마라376861,0,0,0,0,0,0
202512,마라381871,0,0,0,0,0,0
202512,마라378869,0,0,0,0,0,0
202512,마라390867,1,1,1,1,1,5
202512,마라380873,0,0,0,0,0,0
202512,마라386860,1,1,1,1,1,5
202512,마라399863,1,1,1,1,1,5
202512,마라384853,1,1,1,1,1,5
202512,마라400873,1,1,1,1,1,5
202512,마라405863,1,1,1,1,1,5
202512,마라380869,0,0,0,0,0,0
202512,마라384869,0,0,0,0,0,0
202512,마라391885,0,0,0,0,0,0
202512,마라397864,1,1,1,1,1,5
202512,마라381878,0,0,0,0,0,0
202512,마라403857,1,1,1,1,1,5
202512,마라378861,0,0,0,0,0,0
202512,마라398868,1,1,1,1,1,5
202512,마라377877,0,0,0,0,0,0
202512,마라396879,1,1,1,1,1,5
202512,마라381876,0,0,0,0,0,0
202512,마라405860,0,0,0,0,0,0
202512,마라382874,0,0,0,0,0,0
202512,마라399864,1,1,1,1,1,5
202512,마라405872,0,0,0,0,0,0
202512,마라386884,0,0,0,0,0,0
202512,마라401866,1,1,1,1,1,5
202512,마라380863,1,1,1,1,1,5
202512,마라383876,0,0,0,0,0,0
202512,마라390881,0,0,0,0,0,0
202512,마라401875,1,1,1,1,1,5
202512,마라397873,1,1,1,1,1,5
202512,마라385857,1,1,1,1,1,5
202512,마라379873,0,0,0,0,0,0
202512,마라392857,0,0,0,0,0,0
202512,마라402876,0,0,0,0,0,0
202512,마라380860,0,0,0,0,0,0
202512,마라398874,1,1,1,1,1,5
202512,마라393877,1,1,1,1,1,5
202512,마라378876,0,0,0,0,0,0
202512,마라384862,0,0,0,0,0,0
202512,마라410860,1,1,1,1,1,5
202512,마라406862,1,1,1,1,1,5
202512,마라408862,1,1,1,1,1,5
202512,마라403872,1,1,1,1,1,5
202512,마라381874,0,0,0,0,0,0
202512,마라405868,1,0,1,1,1,4
202512,마라389854,1,0,1,0,0,2
202512,마라396864,1,1,1,1,1,5
202512,마라390855,1,0,1,0,0,2
202512,마라401870,1,1,1,1,1,5
202512,마라379864,0,0,0,0,0,0
202512,마라403874,1,0,1,1,1,4
202512,마라394861,1,1,1,1,1,5
202512,마라397858,1,1,1,1,1,5
202512,마라401867,1,1,1,1,1,5
202512,마라377871,0,0,0,0,0,0
