STD_YM,gID,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202512,마라337838,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,마라337841,1,0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,마라337842,1,0,7.99,33.64,9.99,11.35,23.2,43.71,32.23,30.88,36.92,37.34,25.13,59.78,72.17,63.97,84.82,188.66,207.72,68.51,75.09,26.51,47.27,11.51,34.36,2.82
202512,마라339835,1,0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,4.13,0.0,0.0,3.94,0.0,0.0,0.0,0.0
202512,마라339838,1,0,25.37,136.48,63.77,97.52,84.97,157.55,141.4,196.83,140.23,93.58,212.22,202.75,198.53,193.1,262.07,364.0,441.32,505.56,571.05,406.9,433.32,294.44,272.9,102.02
202512,마라339839,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,10.71,10.71,7.14,21.42,28.56,0.0,3.57,39.27,21.42,0.0,0.0
202512,마라340842,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,6.46,0.0,0.0,3.23,0.0,3.23,0.0,3.23,3.23,9.69,6.46,3.23,3.23,0.0,7.0
202512,마라340846,1,0,0.0,29.13,20.91,12.75,18.14,77.29,49.59,127.35,63.71,79.55,56.72,51.58,50.34,75.62,131.78,113.01,195.1,165.5,108.38,74.73,59.24,79.64,91.39,23.04
202512,마라341844,1,0,0.0,0.0,0.0,0.0,0.0,3.23,3.23,3.23,0.0,0.0,0.0,3.23,0.0,0.0,6.46,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,마라341846,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,마라341850,1,0,0.0,0.0,5.88,6.06,0.0,3.72,45.07,3.72,0.0,18.56,6.7,0.0,0.0,0.0,0.0,19.31,10.11,24.65,0.0,0.0,2.94,3.5,0.0,0.0
202512,마라342836,1,0,40.9,70.61,117.22,64.66,78.4,79.29,54.6,82.65,147.7,97.35,201.89,307.55,431.63,461.44,410.53,683.27,909.39,1151.85,1156.97,982.67,815.28,689.62,654.54,119.64
202512,마라342854,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0,0.0,3.65,10.62,0.0,0.0,0.0,0.0,0.0,0.0,3.65
202512,마라342856,1,0,33.2,91.5,54.45,64.51,57.6,44.63,65.28,41.16,44.74,25.66,89.91,160.32,200.06,229.67,259.63,317.59,443.53,654.13,505.57,417.28,440.9,447.69,280.01,86.92
202512,마라343844,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.48,7.44,5.98,3.5,2.48,6.27,0.0,0.0,0.0,0.0
202512,마라343849,1,0,16.96,52.01,18.39,53.32,48.94,83.35,81.98,234.47,70.32,69.83,47.85,81.23,66.57,54.95,65.29,84.18,99.2,78.06,97.09,95.95,126.37,63.89,48.58,12.59
202512,마라344849,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,35.1,10.53,3.51,0.0,0.0
