STD_YM,gID,기능_여가,기능_의료,기능_교육,기능_상업,기능_주거,기능_합
202512,마라337834,0,0,0,0,0,0
202512,마라371870,0,0,0,0,0,0
202512,마라352859,1,1,1,1,1,5
202512,마라356862,1,1,1,1,1,5
202512,마라340844,0,0,0,1,0,1
202512,마라353860,1,1,1,1,1,5
202512,마라345865,1,1,1,1,1,5
202512,마라351852,1,1,1,1,1,5
202512,마라342848,1,1,1,1,1,5
202512,마라339839,1,1,1,1,1,5
202512,마라357848,1,1,1,1,1,5
202512,마라341840,1,0,0,1,0,2
202512,마라359858,1,1,1,1,1,5
202512,마라365873,0,0,0,0,0,0
202512,마라336845,0,0,0,0,0,0
202512,마라357851,1,1,1,1,1,5
202512,마라342855,1,1,1,1,1,5
202512,마라342845,1,1,1,1,1,5
202512,마라348867,1,1,1,1,1,5
202512,마라367870,0,0,0,0,0,0
202512,마라370867,0,0,0,0,0,0
202512,마라355867,0,0,0,0,0,0
202512,마라336842,1,1,1,1,1,5
202512,마라347867,1,1,1,1,1,5
202512,마라351851,1,1,1,1,1,5
202512,마라360862,0,0,0,0,0,0
202512,마라369865,0,0,0,0,0,0
202512,마라352851,1,1,1,1,1,5
202512,마라348864,1,1,1,1,1,5
202512,마라348850,1,1,1,1,1,5
202512,마라368870,0,0,0,0,0,0
202512,마라337841,1,1,1,1,1,5
202512,마라354853,1,1,1,1,1,5
202512,마라367866,0,0,0,0,0,0
202512,마라338843,1,1,1,1,1,5
202512,마라352856,1,1,1,1,1,5
202512,마라355862,1,1,1,1,1,5
202512,마라358862,1,1,1,1,1,5
202512,마라357852,1,1,1,1,1,5
202512,마라360866,0,0,0,0,0,0
202512,마라337828,0,0,0,0,0,0
202512,마라366871,0,0,0,0,0,0
202512,마라352866,1,1,1,1,1,5
202512,마라354851,1,1,1,1,1,5
202512,마라338847,0,0,0,0,0,0
202512,마라363875,0,0,0,0,0,0
202512,마라356853,1,1,1,1,1,5
202512,마라339850,0,0,0,0,0,0
202512,마라368863,1,1,1,1,1,5
202512,마라348859,1,1,1,1,1,5
202512,마라339849,0,0,0,0,0,0
202512,마라368868,0,0,0,0,0,0
202512,마라368865,0,0,0,0,0,0
202512,마라339848,0,0,0,0,0,0
202512,마라363868,1,1,1,1,1,5
202512,마라360869,1,1,1,1,1,5
202512,마라365866,1,1,1,1,1,5
202512,마라341856,1,1,1,1,1,5
202512,마라351861,1,1,1,1,1,5
202512,마라339834,1,0,1,1,0,3
202512,마라366869,0,0,0,0,0,0
202512,마라340834,1,0,1,1,0,3
202512,마라344867,1,1,1,1,1,5
202512,마라347851,1,1,1,1,1,5
202512,마라340847,1,1,1,1,1,5
202512,마라340835,1,0,1,1,0,3
202512,마라337836,1,0,0,1,0,2
202512,마라351864,1,1,1,1,1,5
202512,마라361865,0,0,0,0,0,0
202512,마라348862,1,1,1,1,1,5
202512,마라367867,0,0,0,0,0,0
202512,마라370865,0,0,0,0,0,0
202512,마라336834,0,0,0,0,0,0
202512,마라349852,1,1,1,1,1,5
202512,마라349850,1,1,1,1,1,5
202512,마라337844,0,0,0,0,0,0
202512,마라338844,0,0,0,0,0,0
202512,마라341854,1,0,0,1,0,2
202512,마라364872,1,1,1,1,1,5
202512,마라339847,1,1,1,1,1,5
202512,마라354856,1,1,1,1,1,5
202512,마라359869,1,1,1,1,1,5
202512,마라350863,1,1,1,1,1,5
202512,마라337829,0,0,0,0,0,0
202512,마라346854,1,1,1,1,1,5
202512,마라338829,0,0,0,0,0,0
202512,마라346866,1,1,1,1,1,5
202512,마라345864,1,1,1,1,1,5
202512,마라359862,0,0,0,0,0,0
202512,마라369871,0,0,0,0,0,0
202512,마라370864,0,0,0,0,0,0
202512,마라342851,1,1,1,1,1,5
202512,마라340849,1,1,1,1,1,5
202512,마라342852,0,0,0,0,0,0
202512,마라366866,1,1,1,1,1,5
202512,마라365860,0,0,0,0,0,0
202512,마라343842,0,0,0,0,0,0
202512,마라357861,1,1,1,1,1,5
202512,마라365864,1,1,1,1,1,5
202512,마라347863,1,1,1,1,1,5
202512,마라359856,1,1,1,1,1,5
202512,마라351858,1,1,1,1,1,5
202512,마라358864,1,1,1,1,1,5
202512,마라352862,1,1,1,1,1,5
202512,마라346862,1,1,1,1,1,5
202512,마라341836,1,1,1,1,1,5
202512,마라344850,1,1,1,1,1,5
202512,마라345855,0,0,0,0,0,0
202512,마라362861,0,0,0,0,0,0
202512,마라351867,1,1,1,1,1,5
202512,마라363872,1,1,1,1,1,5
202512,마라347864,1,1,1,1,1,5
202512,마라368864,1,1,1,1,1,5
202512,마라350852,1,1,1,1,1,5
202512,마라348852,1,1,1,1,1,5
202512,마라352854,1,1,1,1,1,5
202512,마라354858,1,1,1,1,1,5
202512,마라368862,1,1,1,1,1,5
202512,마라362874,1,1,1,1,1,5
202512,마라345861,1,1,1,1,1,5
202512,마라351859,1,1,1,1,1,5
202512,마라338842,1,1,1,1,1,5
202512,마라348861,1,1,1,1,1,5
202512,마라363862,0,0,0,0,0,0
202512,마라361863,0,0,0,0,0,0
202512,마라338846,0,0,0,0,0,0
202512,마라362870,1,1,1,1,1,5
202512,마라336843,1,1,1,1,1,5
202512,마라355857,1,1,1,1,1,5
202512,마라342841,0,0,0,0,0,0
202512,마라366873,0,0,0,0,0,0
202512,마라368866,0,0,0,0,0,0
202512,마라348866,1,1,1,1,1,5
202512,마라342839,1,0,0,1,0,2
202512,마라353865,1,1,1,1,1,5
202512,마라358849,1,1,1,1,1,5
202512,마라362872,1,1,1,1,1,5
202512,마라349867,1,1,1,1,1,5
202512,마라343840,0,0,0,0,0,0
202512,마라347857,1,1,1,1,1,5
202512,마라350867,1,1,1,1,1,5
202512,마라351850,1,1,1,1,1,5
202512,마라341845,1,1,1,1,1,5
202512,마라341847,1,1,1,1,1,5
202512,마라368872,0,0,0,0,0,0
202512,마라347861,1,1,1,1,1,5
202512,마라339827,0,0,0,0,0,0
202512,마라366875,0,0,0,0,0,0
202512,마라357855,1,1,1,1,1,5
202512,마라371874,0,0,0,0,0,0
202512,마라369877,0,0,0,0,0,0
202512,마라358860,1,1,1,1,1,5
202512,마라345866,1,1,1,1,1,5
202512,마라373874,0,0,0,0,0,0
202512,마라340836,1,0,1,1,0,3
202512,마라358867,0,0,0,0,0,0
202512,마라357860,1,1,1,1,1,5
202512,마라338837,1,1,1,1,1,5
202512,마라356851,1,1,1,1,1,5
202512,마라360859,0,0,0,0,0,0
202512,마라345856,0,0,0,0,0,0
202512,마라353863,1,1,1,1,1,5
202512,마라341835,1,1,1,1,1,5
202512,마라340832,0,0,0,0,0,0
202512,마라340852,0,0,0,0,0,0
202512,마라357859,1,1,1,1,1,5
202512,마라373873,0,0,0,0,0,0
202512,마라345868,1,1,1,1,1,5
202512,마라347850,0,0,0,0,0,0
202512,마라364869,1,1,1,1,1,5
202512,마라342856,1,1,1,1,1,5
202512,마라336832,0,0,0,0,0,0
202512,마라347856,1,1,1,1,1,5
202512,마라369869,0,0,0,0,0,0
202512,마라358857,1,1,1,1,1,5
202512,마라346869,1,1,1,1,1,5
202512,마라347869,1,1,1,1,1,5
202512,마라362859,0,0,0,0,0,0
202512,마라357857,1,1,1,1,1,5
202512,마라338836,1,0,1,1,0,3
202512,마라348855,1,1,1,1,1,5
202512,마라365872,0,0,0,0,0,0
202512,마라356859,1,1,1,1,1,5
202512,마라366861,0,0,0,0,0,0
202512,마라359863,0,0,0,0,0,0
202512,마라355856,1,1,1,1,1,5
202512,마라363870,1,1,1,1,1,5
202512,마라357863,1,1,1,1,1,5
202512,마라343849,1,1,1,1,1,5
202512,마라354860,1,1,1,1,1,5
202512,마라338839,1,1,1,1,1,5
202512,마라352855,1,1,1,1,1,5
202512,마라350860,1,1,1,1,1,5
202512,마라342859,0,0,0,0,0,0
202512,마라348860,1,1,1,1,1,5
202512,마라360870,0,0,0,0,0,0
202512,마라364862,0,0,0,0,0,0
202512,마라364873,1,1,1,1,1,5
202512,마라357856,1,1,1,1,1,5
202512,마라356855,1,1,1,1,1,5
202512,마라351866,1,1,1,1,1,5
202512,마라364859,0,0,0,0,0,0
202512,마라344853,0,0,0,0,0,0
202512,마라359849,1,1,1,1,1,5
202512,마라347860,1,1,1,1,1,5
202512,마라347865,1,1,1,1,1,5
202512,마라346857,0,0,0,0,0,0
202512,마라337832,0,0,0,0,0,0
202512,마라359868,1,1,1,1,1,5
202512,마라357865,1,1,1,1,1,5
202512,마라362869,1,1,1,1,1,5
202512,마라336833,0,0,0,0,0,0
202512,마라338841,1,1,1,1,1,5
202512,마라349858,1,1,1,1,1,5
202512,마라349855,1,1,1,1,1,5
202512,마라337843,1,1,1,1,1,5
202512,마라341841,1,1,1,1,1,5
202512,마라347862,1,1,1,1,1,5
202512,마라345857,0,0,0,0,0,0
202512,마라341846,1,1,1,1,1,5
202512,마라337835,0,0,0,1,0,1
202512,마라337831,0,0,0,0,0,0
202512,마라352867,1,1,1,1,1,5
202512,마라343839,0,0,0,0,0,0
202512,마라352852,1,1,1,1,1,5
202512,마라374873,0,0,0,0,0,0
202512,마라366862,1,1,1,1,1,5
202512,마라339835,1,0,1,1,0,3
202512,마라372872,0,0,0,0,0,0
202512,마라365870,1,1,1,1,1,5
202512,마라345858,1,1,1,1,1,5
202512,마라353854,1,1,1,1,1,5
202512,마라350861,1,1,1,1,1,5
202512,마라347859,1,1,1,1,1,5
202512,마라360856,1,1,1,1,1,5
202512,마라368877,0,0,0,0,0,0
202512,마라368875,0,0,0,0,0,0
202512,마라344862,1,1,1,1,1,5
202512,마라356860,1,1,1,1,1,5
202512,마라375872,0,0,0,0,0,0
202512,마라335841,0,0,0,0,0,0
