STD_YM,gID,기능_여가,기능_의료,기능_교육,기능_상업,기능_주거,기능_합
202512,마라336778,1,1,1,1,1,5
202512,마라348786,1,1,1,1,1,5
202512,마라337769,1,1,1,1,1,5
202512,마라337787,0,0,0,0,0,0
202512,마라346759,1,1,1,1,1,5
202512,마라328776,0,0,0,0,0,0
202512,마라347770,1,1,1,1,1,5
202512,마라325773,0,0,0,0,0,0
202512,마라341769,1,1,1,1,1,5
202512,마라332777,1,1,1,1,1,5
202512,마라344756,0,0,0,0,0,0
202512,마라336764,0,0,0,0,0,0
202512,마라326777,1,1,1,1,1,5
202512,마라330782,1,1,1,1,1,5
202512,마라340765,0,0,0,0,0,0
202512,마라346762,1,1,1,1,1,5
202512,마라341783,1,1,1,1,1,5
202512,마라323772,1,1,1,1,1,5
202512,마라325780,0,0,0,0,0,0
202512,마라334784,0,0,0,0,0,0
202512,마라344769,1,1,1,1,1,5
202512,마라333759,0,0,0,0,0,0
202512,마라339782,1,1,1,1,1,5
202512,마라331791,1,1,1,1,1,5
202512,마라333775,0,0,0,0,0,0
202512,마라333758,0,0,0,0,0,0
202512,마라330778,1,1,1,1,1,5
202512,마라342780,1,1,1,1,1,5
202512,마라330789,1,1,1,1,1,5
202512,마라342784,1,1,1,1,1,5
202512,마라342760,1,1,1,1,1,5
202512,마라339786,1,1,1,1,1,5
202512,마라347766,1,1,1,1,1,5
202512,마라329760,0,0,0,0,0,0
202512,마라336770,1,1,1,1,1,5
202512,마라349772,1,1,1,1,1,5
202512,마라333769,1,1,1,1,1,5
202512,마라350774,1,1,1,1,1,5
202512,마라332765,0,0,0,0,0,0
202512,마라341776,1,1,1,1,1,5
202512,마라344765,0,0,0,0,0,0
202512,마라331764,1,1,1,1,1,5
202512,마라336793,0,0,0,0,0,0
202512,마라342773,1,1,1,1,1,5
202512,마라342755,0,0,0,0,0,0
202512,마라337772,1,1,1,1,1,5
202512,마라351773,1,1,1,1,1,5
202512,마라340768,1,1,1,1,1,5
202512,마라341777,1,1,1,1,1,5
202512,마라340763,0,0,0,0,0,0
202512,마라325784,0,0,0,0,0,0
202512,마라332771,1,1,1,1,1,5
202512,마라339767,0,0,0,0,0,0
202512,마라329782,1,1,1,1,1,5
202512,마라338769,1,1,1,1,1,5
202512,마라354766,0,0,0,0,0,0
202512,마라327773,1,1,1,1,1,5
202512,마라332760,0,0,0,0,0,0
202512,마라332782,0,0,0,0,0,0
202512,마라346758,1,1,1,1,1,5
202512,마라325768,1,0,1,1,0,3
202512,마라343780,1,1,1,1,1,5
202512,마라344774,1,1,1,1,1,5
202512,마라326780,1,0,0,1,1,3
202512,마라334761,0,0,0,0,0,0
202512,마라333791,1,1,1,1,1,5
202512,마라350778,0,0,0,0,0,0
202512,마라334763,0,0,0,0,0,0
202512,마라327776,0,0,0,0,0,0
202512,마라341778,0,1,1,1,1,4
202512,마라345764,1,1,1,1,1,5
202512,마라349760,0,0,1,0,0,1
202512,마라323773,1,1,1,1,1,5
202512,마라328791,1,1,1,1,1,5
202512,마라334777,1,1,1,1,1,5
202512,마라350772,1,1,1,1,1,5
202512,마라345768,0,0,0,0,0,0
202512,마라327764,0,0,0,0,0,0
202512,마라335782,1,1,1,1,1,5
202512,마라330791,1,1,1,1,1,5
202512,마라326776,0,0,0,0,0,0
202512,마라335761,1,1,1,0,1,4
202512,마라333760,0,0,0,0,0,0
202512,마라324772,1,1,1,1,1,5
202512,마라326782,1,0,0,1,1,3
202512,마라328790,1,1,1,1,1,5
202512,마라346781,1,1,1,1,1,5
202512,마라339780,1,1,1,1,1,5
202512,마라332780,0,0,0,0,0,0
202512,마라353769,0,0,1,0,0,1
202512,마라335769,1,1,1,1,1,5
202512,마라339769,1,1,1,1,1,5
202512,마라352764,1,1,1,0,1,4
202512,마라352771,0,0,1,0,0,1
202512,마라345773,1,1,1,1,1,5
202512,마라325779,1,1,1,1,1,5
202512,마라337765,0,0,0,0,0,0
202512,마라336785,1,1,1,1,1,5
202512,마라337783,1,1,1,1,1,5
202512,마라343772,1,1,1,1,1,5
202512,마라323778,0,0,0,0,0,0
202512,마라343787,1,1,1,1,1,5
202512,마라347785,1,1,1,1,1,5
202512,마라337784,1,1,1,1,1,5
202512,마라336788,0,0,0,0,0,0
202512,마라352772,1,0,0,0,0,1
202512,마라347771,1,1,1,1,1,5
202512,마라329766,1,1,1,0,1,4
202512,마라334781,1,1,1,1,1,5
202512,마라349778,0,0,0,0,0,0
202512,마라344771,1,1,1,1,1,5
202512,마라337777,1,1,1,1,1,5
202512,마라338767,1,0,1,0,1,3
202512,마라331773,1,1,1,1,1,5
202512,마라347758,1,1,1,1,1,5
202512,마라351785,0,0,0,0,0,0
202512,마라337788,0,0,0,0,0,0
202512,마라340782,0,0,0,0,0,0
202512,마라343779,1,1,1,1,1,5
202512,마라333771,1,1,1,1,1,5
202512,마라341787,1,1,1,1,1,5
202512,마라334776,1,1,1,1,1,5
202512,마라339764,0,0,0,0,0,0
202512,마라347781,1,1,1,1,1,5
202512,마라339771,1,1,1,1,1,5
202512,마라348781,1,1,1,1,1,5
202512,마라334766,1,1,1,1,1,5
202512,마라326788,1,1,1,1,1,5
202512,마라330769,1,1,1,1,1,5
202512,마라337768,1,0,1,1,1,4
202512,마라329791,1,1,1,1,1,5
202512,마라344789,0,0,0,0,0,0
202512,마라333783,1,1,1,1,1,5
202512,마라336760,1,1,1,0,1,4
202512,마라347783,1,1,1,1,1,5
202512,마라348767,1,1,1,1,1,5
202512,마라350761,0,0,1,0,0,1
202512,마라324763,1,1,1,0,1,4
202512,마라331772,1,1,1,1,1,5
202512,마라338756,0,0,0,0,0,0
202512,마라335766,1,1,1,1,1,5
202512,마라340788,1,1,1,1,1,5
202512,마라343782,1,1,1,1,1,5
202512,마라333790,1,1,1,1,1,5
202512,마라327777,0,0,0,0,0,0
202512,마라351761,1,1,1,1,1,5
202512,마라352775,1,1,1,1,1,5
202512,마라327784,0,0,0,0,0,0
202512,마라331776,1,1,1,1,1,5
202512,마라346774,1,1,1,1,1,5
202512,마라335768,1,1,1,1,1,5
202512,마라344758,1,1,1,1,1,5
202512,마라329770,1,1,1,1,1,5
202512,마라331781,0,0,0,0,0,0
202512,마라354767,0,0,0,0,0,0
202512,마라327780,1,0,0,1,1,3
202512,마라352762,1,1,1,1,1,5
202512,마라343765,1,1,1,1,1,5
